fake_author_ID,ctrl_obs_cat,ctrl_obs_2cat,acadmic_age,first_gender,second_gender,third_gender,mobility_status2,continent,WB_region,un_subregion,continent_new,un_subregion_new,WB_region_new
1,top5-top10_oxq1,Others,9,Male,Unknown,Unknown,Non mobile,Americas,North America,Northern America,USA,USA,USA
2,top1_oxq1,Talents,18,Female,Female,Female,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
3,top1_oxq1,Talents,20,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
4,top1_oxq1,Talents,21,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
5,top5-top10_oxq1,Others,22,Female,Female,Female,Internal,Europe,Europe & Central Asia,Western Europe,Europe,Western Europe,Europe & Central Asia
6,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
7,top5-top10_oxq1,Others,22,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
8,top1_oxq1,Talents,14,Male,Male,Male,Non mobile,Americas,North America,Northern America,USA,USA,USA
9,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
10,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
11,top5-top10_oxq1,Others,14,Male,Female,Unknown,Non mobile,Europe,Europe & Central Asia,Eastern Europe,Europe,Eastern Europe,Europe & Central Asia
12,top1_oxq1,Talents,18,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
13,top5-top10_oxq1,Others,20,Male,Male,Male,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
14,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Americas,North America,Northern America,Americas,Northern America,North America
15,top1_oxq1,Talents,18,Male,Male,Male,Internal,Americas,North America,Northern America,USA,USA,USA
16,top5-top10_oxq1,Others,15,Male,Female,Female,Non mobile,Asia,East Asia & Pacific,Eastern Asia,CHN,CHN,CHN
17,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Europe,Europe & Central Asia,Southern Europe,Europe,Southern Europe,Europe & Central Asia
18,top5-top10_oxq1,Others,21,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
19,top5-top10_oxq1,Others,20,Male,Male,Male,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
20,top5-top10_oxq1,Others,20,Female,Female,Female,Internal,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
21,top5-top10_oxq1,Others,18,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
22,top5-top10_oxq1,Others,16,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
23,top1_oxq1,Talents,22,Female,Female,Female,Internal,Europe,Europe & Central Asia,Northern Europe,Europe,Northern Europe,Europe & Central Asia
24,top1_oxq1,Talents,19,Female,Female,Female,Internal,Americas,North America,Northern America,USA,USA,USA
25,top5-top10_oxq1,Others,17,Male,Male,Male,Non mobile,Asia,East Asia & Pacific,Eastern Asia,Asia,Eastern Asia,East Asia & Pacific
