x,predicted,response.level,group
Others,0.622258286014655,Non mobile,Sub-Saharan Africa
Others,1.8842524107566473e-5,Both,Sub-Saharan Africa
Others,0.12484108309583947,Internal,Sub-Saharan Africa
Others,0.2528817883653979,International,Sub-Saharan Africa
Others,0.3439001204833113,Non mobile,Australia and New Zealand
Others,0.1724766955595604,Both,Australia and New Zealand
Others,0.18110014657466741,Internal,Australia and New Zealand
Others,0.3025230373824609,International,Australia and New Zealand
Others,0.4710923329666622,Non mobile,BRA
Others,0.054807793313779815,Both,BRA
Others,0.31224549218967956,Internal,BRA
Others,0.16185438152987838,International,BRA
Others,9.955611603560271e-12,Non mobile,Central Asia
Others,0.19943169729417504,Both,Central Asia
Others,0.2018490236853145,Internal,Central Asia
Others,0.5987192790105549,International,Central Asia
Others,0.5479826894826866,Non mobile,CHN
Others,0.08305160601432547,Both,CHN
Others,0.21804237310073854,Internal,CHN
Others,0.15092333140224937,International,CHN
Others,0.45453869291972077,Non mobile,Eastern Asia
Others,0.0756266993105052,Both,Eastern Asia
Others,0.3036554830304883,Internal,Eastern Asia
Others,0.1661791247392858,International,Eastern Asia
Others,0.5656986151395211,Non mobile,Eastern Europe
Others,0.0493434529822531,Both,Eastern Europe
Others,0.10162016003902488,Internal,Eastern Europe
Others,0.2833377718392009,International,Eastern Europe
Others,0.35991042310213295,Non mobile,Latin America and the Caribbean
Others,0.0794589409176265,Both,Latin America and the Caribbean
Others,0.16984509953993188,Internal,Latin America and the Caribbean
Others,0.3907855364403087,International,Latin America and the Caribbean
Others,5.338778355549006e-7,Non mobile,Melanesia
Others,3.457862825302097e-12,Both,Melanesia
Others,1.9276985877219914e-8,Internal,Melanesia
Others,0.9999994468417206,International,Melanesia
Others,0.4294420033531051,Non mobile,Northern Africa
Others,0.04507562639921576,Both,Northern Africa
Others,0.12066636652616332,Internal,Northern Africa
Others,0.4048160037215157,International,Northern Africa
Others,0.422492633295978,Non mobile,Northern America
Others,0.12594636627803363,Both,Northern America
Others,0.13054996202750813,Internal,Northern America
Others,0.3210110383984803,International,Northern America
Others,0.5204193962792327,Non mobile,Northern Europe
Others,0.07214087267303772,Both,Northern Europe
Others,0.10275792082993367,Internal,Northern Europe
Others,0.3046818102177958,International,Northern Europe
Others,0.35013854735352534,Non mobile,South-eastern Asia
Others,0.13456867860402613,Both,South-eastern Asia
