x,predicted,response.level,group,facet
Others,0.18557371764048675,Non mobile,Female,Sub-Saharan Africa
Others,0.4325417757500919,Non mobile,Female,Australia and New Zealand
Others,0.5407020800979303,Non mobile,Female,BRA
Others,4.148789931735421e-7,Non mobile,Female,Central Asia
Others,0.46518409842468583,Non mobile,Female,CHN
Others,0.4066336093950061,Non mobile,Female,Eastern Asia
Others,0.5893565794812147,Non mobile,Female,Eastern Europe
Others,0.3512721927710113,Non mobile,Female,Latin America and the Caribbean
Others,0.014882897586766565,Non mobile,Female,Melanesia
Others,0.45962589728746023,Non mobile,Female,Northern Africa
Others,0.5058721911562488,Non mobile,Female,Northern America
Others,0.5068396809277718,Non mobile,Female,Northern Europe
Others,0.20226386890414055,Non mobile,Female,South-eastern Asia
Others,0.48259058533698557,Non mobile,Female,Southern Asia
Others,0.5911036564395501,Non mobile,Female,Southern Europe
Others,0.3356259878215939,Non mobile,Female,USA
Others,0.4806609353144233,Non mobile,Female,Western Asia
Others,0.40110511265072835,Non mobile,Female,Western Europe
Others,0.5288485498789814,Non mobile,Female,ZAF
Others,1.9012954497606423e-4,Both,Female,Sub-Saharan Africa
Others,0.14487174994594526,Both,Female,Australia and New Zealand
Others,0.07383330317632865,Both,Female,BRA
Others,6.172017524359937e-7,Both,Female,Central Asia
Others,0.13904730682596686,Both,Female,CHN
Others,0.11139358881282892,Both,Female,Eastern Asia
Others,0.02671144489257319,Both,Female,Eastern Europe
Others,0.05479415325504103,Both,Female,Latin America and the Caribbean
Others,1.0344337799005484e-5,Both,Female,Melanesia
Others,0.11212088689927611,Both,Female,Northern Africa
Others,0.11672673687688384,Both,Female,Northern America
Others,0.05226866494226057,Both,Female,Northern Europe
Others,0.22415908219426225,Both,Female,South-eastern Asia
Others,0.046533940067149594,Both,Female,Southern Asia
Others,0.04274914811936372,Both,Female,Southern Europe
Others,0.0987778191526266,Both,Female,USA
Others,0.14826171678604963,Both,Female,Western Asia
Others,0.11326472670624227,Both,Female,Western Europe
Others,0.11723699129868484,Both,Female,ZAF
Others,0.26245129209068513,Internal,Female,Sub-Saharan Africa
Others,0.19626015342211034,Internal,Female,Australia and New Zealand
Others,0.26105009621850994,Internal,Female,BRA
Others,2.13346158639559e-5,Internal,Female,Central Asia
Others,0.16445949678743638,Internal,Female,CHN
Others,0.30937479394781564,Internal,Female,Eastern Asia
Others,0.05473019822579063,Internal,Female,Eastern Europe
Others,0.11301193728501585,Internal,Female,Latin America and the Caribbean
Others,0.014938827303362644,Internal,Female,Melanesia
Others,0.21706153598397532,Internal,Female,Northern Africa
Others,0.13039803463740784,Internal,Female,Northern America
Others,0.12801041993797485,Internal,Female,Northern Europe
Others,0.08911995842887326,Internal,Female,South-eastern Asia
Others,0.2261397045167155,Internal,Female,Southern Asia
Others,0.1951072763097269,Internal,Female,Southern Europe
