x,predicted,response.level,group,facet
Others,0.18446919462258213,Non mobile,Female,Sub-Saharan Africa
Others,0.5406541366548443,Non mobile,Female,BRA
Others,0.46526821297587884,Non mobile,Female,CHN
Others,0.4020308328890486,Non mobile,Female,East Asia & Pacific
Others,0.49946397615567806,Non mobile,Female,Europe & Central Asia
Others,0.3506724189321584,Non mobile,Female,Latin America & Caribbean
Others,0.4975366421888191,Non mobile,Female,Middle East & North Africa
Others,0.5056645176123304,Non mobile,Female,North America
Others,0.43711708154348716,Non mobile,Female,South Asia
Others,0.33557188155239515,Non mobile,Female,USA
Others,0.5251898744419986,Non mobile,Female,ZAF
Others,8.720603407164246e-5,Both,Female,Sub-Saharan Africa
Others,0.07409537007341922,Both,Female,BRA
Others,0.138931725559801,Both,Female,CHN
Others,0.12778295527938466,Both,Female,East Asia & Pacific
Others,0.07066990205575076,Both,Female,Europe & Central Asia
Others,0.054586669725563496,Both,Female,Latin America & Caribbean
Others,0.15709230649495529,Both,Female,Middle East & North Africa
Others,0.11689244461255352,Both,Female,North America
Others,0.054582883574048016,Both,Female,South Asia
Others,0.09879230622559504,Both,Female,USA
Others,0.12167374624328621,Both,Female,ZAF
Others,0.283319964663942,Internal,Female,Sub-Saharan Africa
Others,0.2607315774914982,Internal,Female,BRA
Others,0.1646600148663582,Internal,Female,CHN
Others,0.2641810456924394,Internal,Female,East Asia & Pacific
Others,0.18376683477798392,Internal,Female,Europe & Central Asia
Others,0.11335636323594983,Internal,Female,Latin America & Caribbean
Others,0.06863073438958478,Internal,Female,Middle East & North Africa
Others,0.130344790181295,Internal,Female,North America
Others,0.2624959291396208,Internal,Female,South Asia
Others,0.43428784382279045,Internal,Female,USA
Others,0.11855169320108214,Internal,Female,ZAF
Others,0.5321236346794043,International,Female,Sub-Saharan Africa
Others,0.12451891578023824,International,Female,BRA
Others,0.231140046597962,International,Female,CHN
Others,0.2060051661391273,International,Female,East Asia & Pacific
Others,0.24609928701058725,International,Female,Europe & Central Asia
Others,0.4813845481063284,International,Female,Latin America & Caribbean
Others,0.2767403169266409,International,Female,Middle East & North Africa
Others,0.247098247593821,International,Female,North America
Others,0.24580410574284411,International,Female,South Asia
Others,0.13134796839921936,International,Female,USA
Others,0.2345846861136331,International,Female,ZAF
Others,0.7611827179899511,Non mobile,Male,Sub-Saharan Africa
Others,0.431908679061442,Non mobile,Male,BRA
Others,0.5010898755690028,Non mobile,Male,CHN
Others,0.38379123352963945,Non mobile,Male,East Asia & Pacific
Others,0.49977402506924035,Non mobile,Male,Europe & Central Asia
Others,0.357201942418539,Non mobile,Male,Latin America & Caribbean
Others,0.37295041282827146,Non mobile,Male,Middle East & North Africa
Others,0.371430077535978,Non mobile,Male,North America
Others,0.3113814519711298,Non mobile,Male,South Asia
Others,0.3547058239380769,Non mobile,Male,USA
Others,0.36651138039629927,Non mobile,Male,ZAF
Others,1.1608075384299391e-4,Both,Male,Sub-Saharan Africa
Others,0.05402495965179742,Both,Male,BRA
Others,0.1095513932690689,Both,Male,CHN
Others,0.10398953157679938,Both,Male,East Asia & Pacific
