x,predicted,response.level,group,facet
Others,0.13981887070006047,Non mobile,Female,Sub-Saharan Africa
Others,0.43022960947491556,Non mobile,Female,Australia and New Zealand
Others,0.5578100760786627,Non mobile,Female,BRA
Others,2.553584012894305e-4,Non mobile,Female,Central Asia
Others,0.5885651599046058,Non mobile,Female,CHN
Others,0.4883807132479493,Non mobile,Female,Eastern Asia
Others,0.5860694101731804,Non mobile,Female,Eastern Europe
Others,0.3312838867987219,Non mobile,Female,Latin America and the Caribbean
Others,0.008535357605462538,Non mobile,Female,Melanesia
Others,0.2811179470962129,Non mobile,Female,Northern Africa
Others,0.5073705434859764,Non mobile,Female,Northern America
Others,0.515210307882356,Non mobile,Female,Northern Europe
Others,0.06943028045958509,Non mobile,Female,South-eastern Asia
Others,0.4882203779812456,Non mobile,Female,Southern Asia
Others,0.6006622688791786,Non mobile,Female,Southern Europe
Others,0.34271242645015,Non mobile,Female,USA
Others,0.47894252332577286,Non mobile,Female,Western Asia
Others,0.4085085817512002,Non mobile,Female,Western Europe
Others,0.46778335495781137,Non mobile,Female,ZAF
Others,5.200588667636041e-4,Both,Female,Sub-Saharan Africa
Others,0.14676410822924055,Both,Female,Australia and New Zealand
Others,0.07262418242648652,Both,Female,BRA
Others,0.007290583224700994,Both,Female,Central Asia
Others,0.07579401628409325,Both,Female,CHN
Others,0.0909750597528178,Both,Female,Eastern Asia
Others,0.03576035209286235,Both,Female,Eastern Europe
Others,0.049372938833635804,Both,Female,Latin America and the Caribbean
Others,2.294486954273352e-5,Both,Female,Melanesia
Others,2.7966802760916814e-6,Both,Female,Northern Africa
Others,0.09131352654535714,Both,Female,Northern America
Others,0.0569933129566407,Both,Female,Northern Europe
Others,0.28321366564450784,Both,Female,South-eastern Asia
Others,0.10025217536032095,Both,Female,Southern Asia
Others,0.041046291144770944,Both,Female,Southern Europe
Others,0.09452243369655682,Both,Female,USA
Others,0.16185297043993008,Both,Female,Western Asia
Others,0.1180984818590241,Both,Female,Western Europe
Others,0.1331298155723169,Both,Female,ZAF
Others,0.21700153781571585,Internal,Female,Sub-Saharan Africa
Others,0.1826127322273712,Internal,Female,Australia and New Zealand
Others,0.26071410575032666,Internal,Female,BRA
Others,0.16846816104102685,Internal,Female,Central Asia
Others,0.19849516053091595,Internal,Female,CHN
Others,0.24930538943559838,Internal,Female,Eastern Asia
Others,0.060342242748786065,Internal,Female,Eastern Europe
Others,0.156395418120764,Internal,Female,Latin America and the Caribbean
Others,0.008865112487274071,Internal,Female,Melanesia
Others,0.20604975150971747,Internal,Female,Northern Africa
Others,0.1468585579950534,Internal,Female,Northern America
Others,0.1272479359185275,Internal,Female,Northern Europe
Others,0.0717780110815947,Internal,Female,South-eastern Asia
Others,0.17227203411064368,Internal,Female,Southern Asia
Others,0.1974891317276319,Internal,Female,Southern Europe
Others,0.42681334713530533,Internal,Female,USA
Others,0.07519849656907227,Internal,Female,Western Asia
Others,0.237496403741548,Internal,Female,Western Europe
Others,0.13280869197626696,Internal,Female,ZAF
Others,0.64265953261746,International,Female,Sub-Saharan Africa
Others,0.24039355006847274,International,Female,Australia and New Zealand
Others,0.10885163574452403,International,Female,BRA
Others,0.8239858973329827,International,Female,Central Asia
Others,0.1371456632803851,International,Female,CHN
Others,0.17133883756363463,International,Female,Eastern Asia
Others,0.3178279949851712,International,Female,Eastern Europe
Others,0.46294775624687834,International,Female,Latin America and the Caribbean
Others,0.9825765850377206,International,Female,Melanesia
Others,0.5128295047137936,International,Female,Northern Africa
Others,0.254457371973613,International,Female,Northern America
Others,0.3005484432424758,International,Female,Northern Europe
Others,0.5755780428143124,International,Female,South-eastern Asia
Others,0.23925541254778987,International,Female,Southern Asia
Others,0.16080230824841865,International,Female,Southern Europe
