x,predicted,response.level,group,facet
Others,0.15786257926134437,Non mobile,Female,Sub-Saharan Africa
Others,0.5572220452241211,Non mobile,Female,BRA
Others,0.5881785011883651,Non mobile,Female,CHN
Others,0.4630262904347778,Non mobile,Female,East Asia & Pacific
Others,0.5066671075765073,Non mobile,Female,Europe & Central Asia
Others,0.3304960349219773,Non mobile,Female,Latin America & Caribbean
Others,0.4563462436284777,Non mobile,Female,Middle East & North Africa
Others,0.5075144627555518,Non mobile,Female,North America
Others,0.4431474032963347,Non mobile,Female,South Asia
Others,0.34263427698751003,Non mobile,Female,USA
Others,0.48765186845338204,Non mobile,Female,ZAF
Others,1.5133715230954519e-5,Both,Female,Sub-Saharan Africa
Others,0.07388209834880147,Both,Female,BRA
Others,0.07588674548173678,Both,Female,CHN
Others,0.10943380622951952,Both,Female,East Asia & Pacific
Others,0.0753178639283006,Both,Female,Europe & Central Asia
Others,0.051501376181306034,Both,Female,Latin America & Caribbean
Others,0.1067323557572749,Both,Female,Middle East & North Africa
Others,0.09171961667294556,Both,Female,North America
Others,0.11879740559394072,Both,Female,South Asia
Others,0.09459331887229037,Both,Female,USA
Others,0.12422777479105696,Both,Female,ZAF
Others,0.2204087081189279,Internal,Female,Sub-Saharan Africa
Others,0.260139207832947,Internal,Female,BRA
Others,0.19862299209214274,Internal,Female,CHN
Others,0.22922220891428607,Internal,Female,East Asia & Pacific
Others,0.18507341307540856,Internal,Female,Europe & Central Asia
Others,0.15543847362184376,Internal,Female,Latin America & Caribbean
Others,0.10882881719528725,Internal,Female,Middle East & North Africa
Others,0.14680586107121235,Internal,Female,North America
Others,0.17995084879259884,Internal,Female,South Asia
Others,0.4268260447046212,Internal,Female,USA
Others,0.12898876783181312,Internal,Female,ZAF
Others,0.6217135789044967,International,Female,Sub-Saharan Africa
Others,0.1087566485941304,International,Female,BRA
Others,0.13731176123775532,International,Female,CHN
Others,0.19831769442141664,International,Female,East Asia & Pacific
Others,0.23294161541978345,International,Female,Europe & Central Asia
Others,0.4625641152748729,International,Female,Latin America & Caribbean
Others,0.3280925834189601,International,Female,Middle East & North Africa
Others,0.25396005950029044,International,Female,North America
Others,0.25810434231712576,International,Female,South Asia
Others,0.13594635943557826,International,Female,USA
Others,0.25913158892374777,International,Female,ZAF
Others,0.8107274313565195,Non mobile,Male,Sub-Saharan Africa
Others,0.44071473971058167,Non mobile,Male,BRA
Others,0.5339568473495019,Non mobile,Male,CHN
Others,0.4289662584772097,Non mobile,Male,East Asia & Pacific
Others,0.505541183310965,Non mobile,Male,Europe & Central Asia
Others,0.36167452642289194,Non mobile,Male,Latin America & Caribbean
Others,0.39897353248020667,Non mobile,Male,Middle East & North Africa
Others,0.39379357102309603,Non mobile,Male,North America
Others,0.40742290794242936,Non mobile,Male,South Asia
Others,0.36079998336299224,Non mobile,Male,USA
Others,0.4264850036743156,Non mobile,Male,ZAF
Others,6.147075875390701e-7,Both,Male,Sub-Saharan Africa
Others,0.04921509885333842,Both,Male,BRA
Others,0.08605060885077112,Both,Male,CHN
Others,0.08847130806549883,Both,Male,East Asia & Pacific
Others,0.07665026963052879,Both,Male,Europe & Central Asia
Others,0.08352949872244785,Both,Male,Latin America & Caribbean
Others,0.09683103097151255,Both,Male,Middle East & North Africa
Others,0.13913918102651146,Both,Male,North America
Others,0.12529530769346364,Both,Male,South Asia
Others,0.09478769840870842,Both,Male,USA
Others,0.2552648250460541,Both,Male,ZAF
Others,0.09339781952650093,Internal,Male,Sub-Saharan Africa
Others,0.3206009381452865,Internal,Male,BRA
Others,0.224592194137692,Internal,Male,CHN
Others,0.2862097490213615,Internal,Male,East Asia & Pacific
Others,0.1705196549871396,Internal,Male,Europe & Central Asia
Others,0.1738915577106632,Internal,Male,Latin America & Caribbean
Others,0.10962543273126134,Internal,Male,Middle East & North Africa
Others,0.11993209630228703,Internal,Male,North America
Others,0.1651518528442389,Internal,Male,South Asia
Others,0.41187522227249845,Internal,Male,USA
Others,0.10530694308315341,Internal,Male,ZAF
Others,0.0958741344093921,International,Male,Sub-Saharan Africa
Others,0.18946922329079324,International,Male,BRA
Others,0.15540034966203498,International,Male,CHN
Others,0.19635268443593007,International,Male,East Asia & Pacific
Others,0.2472888920713665,International,Male,Europe & Central Asia
Others,0.380904417143997,International,Male,Latin America & Caribbean
Others,0.39457000381701945,International,Male,Middle East & North Africa
Others,0.34713515164810543,International,Male,North America
Others,0.30212993151986806,International,Male,South Asia
Others,0.1325370959558008,International,Male,USA
Others,0.21294322819647707,International,Male,ZAF
Others,0.9998752096005907,Non mobile,Unknown,Sub-Saharan Africa
Others,0.3589048950572088,Non mobile,Unknown,BRA
Others,0.530356850421708,Non mobile,Unknown,CHN
Others,0.3367460632911952,Non mobile,Unknown,East Asia & Pacific
Others,0.5609644591715872,Non mobile,Unknown,Europe & Central Asia
Others,0.5199466975200048,Non mobile,Unknown,Latin America & Caribbean
Others,0.4216362843586013,Non mobile,Unknown,Middle East & North Africa
