x,predicted,response.level,group,facet
Others,0.24147211679735192,Non mobile,Female,Africa
Others,0.4614429428611363,Non mobile,Female,Americas
Others,0.47512567771132014,Non mobile,Female,Asia
Others,0.5571801990753268,Non mobile,Female,BRA
Others,0.5882141203251385,Non mobile,Female,CHN
Others,0.5061808394233104,Non mobile,Female,Europe
Others,0.4300710131429382,Non mobile,Female,Oceania
Others,0.3426455346414657,Non mobile,Female,USA
Others,0.48728844085493367,Non mobile,Female,ZAF
Others,1.5442075636024342e-5,Both,Female,Africa
Others,0.0818553788207946,Both,Female,Americas
Others,0.10564961367009688,Both,Female,Asia
Others,0.07390480086659362,Both,Female,BRA
Others,0.07588537300518147,Both,Female,CHN
Others,0.0739230473876543,Both,Female,Europe
Others,0.14702290398758255,Both,Female,Oceania
Others,0.09461179127013185,Both,Female,USA
Others,0.124848018317082,Both,Female,ZAF
Others,0.2114424862999715,Internal,Female,Africa
Others,0.149032175919021,Internal,Female,Americas
Others,0.2160912509575464,Internal,Female,Asia
Others,0.26001735577368396,Internal,Female,BRA
Others,0.19858281754426518,Internal,Female,CHN
Others,0.1870366276535926,Internal,Female,Europe
Others,0.1814249457124768,Internal,Female,Oceania
Others,0.42675764043000064,Internal,Female,USA
Others,0.12884076854413912,Internal,Female,ZAF
Others,0.5470699548270406,International,Female,Africa
Others,0.3076695023990481,International,Female,Americas
Others,0.20313345766103663,International,Female,Asia
Others,0.10889764428439563,International,Female,BRA
Others,0.13731768912541484,International,Female,CHN
Others,0.23285948553544267,International,Female,Europe
Others,0.24148113715700242,International,Female,Oceania
Others,0.1359850336584018,International,Female,USA
Others,0.25902277228384524,International,Female,ZAF
Others,0.5108364182415792,Non mobile,Male,Africa
Others,0.38300321385878905,Non mobile,Male,Americas
Others,0.4359509085429065,Non mobile,Male,Asia
Others,0.44076556677391765,Non mobile,Male,BRA
Others,0.5339972074103053,Non mobile,Male,CHN
Others,0.5082542406025652,Non mobile,Male,Europe
Others,0.31811452077403957,Non mobile,Male,Oceania
Others,0.3608020653913163,Non mobile,Male,USA
Others,0.42664894132000103,Non mobile,Male,ZAF
Others,0.04506788768016011,Both,Male,Africa
Others,0.12016993721683703,Both,Male,Americas
Others,0.08106986550119011,Both,Male,Asia
Others,0.049216729553941095,Both,Male,BRA
Others,0.08605083546656123,Both,Male,CHN
Others,0.0771972813964672,Both,Male,Europe
Others,0.1871074562731718,Both,Male,Oceania
Others,0.09480572439454558,Both,Male,USA
Others,0.25505875476313894,Both,Male,ZAF
Others,0.10694558898404007,Internal,Male,Africa
Others,0.13806834231188136,Internal,Male,Americas
Others,0.26838705877146873,Internal,Male,Asia
Others,0.32051819726505076,Internal,Male,BRA
Others,0.22454918389286785,Internal,Male,CHN
Others,0.16803004166677632,Internal,Male,Europe
Others,0.1731264429596626,Internal,Male,Oceania
Others,0.4118618119583368,Internal,Male,USA
Others,0.10528278073414524,Internal,Male,ZAF
Others,0.33715010509422055,International,Male,Africa
Others,0.35875850661249264,International,Male,Americas
Others,0.21459216718443458,International,Male,Asia
Others,0.18949950640709035,International,Male,BRA
Others,0.15540277323026572,International,Male,CHN
Others,0.24651843633419124,International,Male,Europe
Others,0.32165157999312605,International,Male,Oceania
Others,0.13253039825580112,International,Male,USA
Others,0.21300952318271466,International,Male,ZAF
Others,0.6394991833521406,Non mobile,Unknown,Africa
Others,0.3485620739414597,Non mobile,Unknown,Americas
Others,0.41264393737649196,Non mobile,Unknown,Asia
Others,0.3594785268227299,Non mobile,Unknown,BRA
Others,0.5303834013446894,Non mobile,Unknown,CHN
Others,0.5616741434987051,Non mobile,Unknown,Europe
Others,1.6276092978410757e-9,Non mobile,Unknown,Oceania
Others,0.39310574522814584,Non mobile,Unknown,USA
Others,0.9999999988834603,Non mobile,Unknown,ZAF
Others,1.0358530062304227e-8,Both,Unknown,Africa
Others,0.15577868608628248,Both,Unknown,Americas
Others,0.10792856918316211,Both,Unknown,Asia
Others,1.9684671333763508e-11,Both,Unknown,BRA
Others,0.06637324255650479,Both,Unknown,CHN
Others,0.06721881200326857,Both,Unknown,Europe
Others,3.2616857765607244e-14,Both,Unknown,Oceania
Others,0.02557165954102053,Both,Unknown,USA
Others,4.942768796328214e-10,Both,Unknown,ZAF
Others,8.529354857001316e-11,Internal,Unknown,Africa
Others,0.24471920027072516,Internal,Unknown,Americas
Others,0.2385178569887467,Internal,Unknown,Asia
Others,0.6405214700761647,Internal,Unknown,BRA
Others,0.23506514643687443,Internal,Unknown,CHN
Others,0.1097550432160398,Internal,Unknown,Europe
Others,0.4992177196779217,Internal,Unknown,Oceania
Others,0.38126603451310037,Internal,Unknown,USA
Others,3.0401920404276544e-17,Internal,Unknown,ZAF
Others,0.36050080620403574,International,Unknown,Africa
Others,0.25094003970153267,International,Unknown,Americas
Others,0.24090963645159916,International,Unknown,Asia
Others,3.081420684060253e-9,International,Unknown,BRA
Others,0.1681782096619313,International,Unknown,CHN
Others,0.2613520012819865,International,Unknown,Europe
Others,0.5007822786944364,International,Unknown,Oceania
Others,0.2000565607177333,International,Unknown,USA
Others,6.222628348753862e-10,International,Unknown,ZAF
Talents,0.7084117669317694,Non mobile,Female,Africa
Talents,0.4662261962188882,Non mobile,Female,Americas
Talents,0.5541799831546121,Non mobile,Female,Asia
Talents,0.5744552696107663,Non mobile,Female,BRA
Talents,0.6175081216175033,Non mobile,Female,CHN
Talents,0.5076441618566012,Non mobile,Female,Europe
Talents,0.38857521156820074,Non mobile,Female,Oceania
Talents,0.3430896029488167,Non mobile,Female,USA
Talents,0.594970577819378,Non mobile,Female,ZAF
Talents,0.14557259647027473,Both,Female,Africa
Talents,0.09137481993032047,Both,Female,Americas
Talents,0.053395162955316725,Both,Female,Asia
Talents,0.031647014034772415,Both,Female,BRA
Talents,0.08168698551298807,Both,Female,CHN
Talents,0.0694023150211296,Both,Female,Europe
Talents,0.13830688401550575,Both,Female,Oceania
Talents,0.10940290770591977,Both,Female,USA
Talents,0.0763135133112598,Both,Female,ZAF
Talents,1.2106490027467277e-10,Internal,Female,Africa
Talents,0.12019971645755873,Internal,Female,Americas
Talents,0.2261358556306467,Internal,Female,Asia
Talents,0.1627110501781409,Internal,Female,BRA
Talents,0.16521016715088552,Internal,Female,CHN
Talents,0.13530549790894436,Internal,Female,Europe
Talents,0.22951828553465214,Internal,Female,Oceania
Talents,0.43928381123875415,Internal,Female,USA
Talents,6.943168919459029e-18,Internal,Female,ZAF
Talents,0.14601563647689084,International,Female,Africa
Talents,0.32219926739323257,International,Female,Americas
Talents,0.16628899825942442,International,Female,Asia
