Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-9.683,0.282,-34.378,0,-10.236,-9.131,Yes
Both,Talents,0.682,0.276,2.468,0.014,0.14,1.223,Yes
Both,Male,-0.884,0.239,-3.704,0,-1.351,-0.416,Yes
Both,Unk.,-7.809,0.278,-28.109,0,-8.354,-7.265,Yes
Both,Australia NZ,5.79,0.352,16.46,0,5.1,6.479,Yes
Both,Brazil,4.892,0.506,9.675,0,3.901,5.884,Yes
Both,Central Asia,7.281,0.361,20.175,0,6.573,7.988,Yes
Both,China,5.676,0.278,20.42,0,5.131,6.221,Yes
Both,Eastern Asia,5.589,0.302,18.514,0,4.997,6.18,Yes
Both,Eastern Europe,3.79,0.718,5.277,0,2.382,5.197,Yes
Both,Latin America Car.,5.026,0.754,6.664,0,3.548,6.504,Yes
Both,Melanesia,-0.388,0,-1059246.027,0,-0.388,-0.388,Yes
Both,Northern Africa,5.473,1.066,5.136,0,3.384,7.561,Yes
Both,Northern America,5.417,0.363,14.941,0,4.706,6.128,Yes
Both,Northern Europe,4.612,0.322,14.322,0,3.981,5.243,Yes
Both,South-eastern Asia,6.986,0.645,10.832,0,5.722,8.25,Yes
Both,Southern Asia,4.545,0.615,7.389,0,3.339,5.75,Yes
Both,Southern Europe,4.257,0.315,13.504,0,3.639,4.875,Yes
Both,USA,5.66,0.258,21.947,0,5.155,6.166,Yes
Both,Western Asia,5.707,0.448,12.744,0,4.83,6.585,Yes
Both,Western Europe,5.619,0.266,21.147,0,5.098,6.14,Yes
Both,South Africa,5.377,1.073,5.01,0,3.274,7.48,Yes
Both,Academic age,0.149,0.009,16.504,0,0.132,0.167,Yes
Both,Tal. x M.,6.544,0.286,22.89,0,5.983,7.104,Yes
Both,Tal. x Unk.,-2.488,0.344,-7.234,0,-3.162,-1.814,Yes
Both,Tal. x Australia NZ,-0.714,0.465,-1.535,0.125,-1.626,0.198,No
Both,Tal. x Brazil,-13.233,0.335,-39.469,0,-13.89,-12.576,Yes
Both,Tal. x Central Asia,-2.488,0.477,-5.219,0,-3.422,-1.554,Yes
Both,Tal. x China,-1.331,0.371,-3.584,0,-2.058,-0.603,Yes
Both,Tal. x Eastern Asia,-1.004,0.41,-2.448,0.014,-1.808,-0.2,Yes
Both,Tal. x Eastern Europe,-0.307,1.212,-0.253,0.8,-2.681,2.068,No
Both,Tal. x Latin America Car.,0.056,1.322,0.042,0.966,-2.535,2.646,No
Both,Tal. x Melanesia,-0.388,0,-1058415.296,0,-0.388,-0.388,Yes
Both,Tal. x Northern Africa,-8.933,0.494,-18.081,0,-9.901,-7.964,Yes
Both,Tal. x Northern America,-0.975,0.519,-1.878,0.06,-1.993,0.043,No
Both,Tal. x Northern Europe,-0.668,0.419,-1.595,0.111,-1.49,0.153,No
Both,Tal. x South-eastern Asia,-1.59,1.044,-1.523,0.128,-3.636,0.456,No
Both,Tal. x Southern Asia,-0.42,0.851,-0.493,0.622,-2.087,1.248,No
Both,Tal. x Southern Europe,-0.46,0.42,-1.097,0.273,-1.283,0.362,No
Both,Tal. x USA,-0.615,0.321,-1.913,0.056,-1.245,0.015,No
Both,Tal. x Western Asia,-0.561,0.677,-0.829,0.407,-1.887,0.765,No
Both,Tal. x Western Europe,-0.785,0.361,-2.175,0.03,-1.492,-0.077,Yes
Both,Tal. x South Africa,-1.367,1.463,-0.935,0.35,-4.234,1.5,No
Both,M. x Australia NZ,1.473,0.397,3.712,0,0.695,2.251,Yes
Both,Unk. x Australia NZ,-5.261,0,-2555435.927,0,-5.261,-5.261,Yes
Both,M. x Brazil,0.792,0.622,1.275,0.202,-0.426,2.011,No
Both,Unk. x Brazil,-6.971,0,-16723274.668,0,-6.971,-6.971,Yes
Both,M. x Central Asia,12.61,0.361,34.942,0,11.903,13.317,Yes
Both,Unk. x Central Asia,-2.998,0,-9993702.216,0,-2.998,-2.998,Yes
Both,M. x China,0.571,0.303,1.881,0.06,-0.024,1.166,No
Both,Unk. x China,5.299,0.41,12.931,0,4.496,6.102,Yes
Both,M. x Eastern Asia,0.654,0.324,2.017,0.044,0.018,1.29,Yes
Both,Unk. x Eastern Asia,5.684,0.433,13.132,0,4.835,6.532,Yes
Both,M. x Eastern Europe,1.815,0.766,2.368,0.018,0.313,3.317,Yes
Both,Unk. x Eastern Europe,-7.619,0,-20922757.462,0,-7.619,-7.619,Yes
Both,M. x Latin America Car.,1.36,0.809,1.681,0.093,-0.226,2.946,No
Both,Unk. x Latin America Car.,-0.525,0.761,-0.69,0.49,-2.017,0.967,No
Both,M. x Melanesia,-0.388,0,-1058468.212,0,-0.388,-0.388,Yes
Both,Unk. x Melanesia,0,0,0,1,-0,0,No
Both,M. x Northern Africa,-0.164,1.274,-0.129,0.898,-2.661,2.333,No
Both,Unk. x Northern Africa,-1.799,0,-32489.923,0,-1.799,-1.799,Yes
Both,M. x Northern America,1.34,0.41,3.266,0.001,0.536,2.144,Yes
Both,Unk. x Northern America,6.631,0.974,6.808,0,4.722,8.54,Yes
Both,M. x Northern Europe,1.316,0.351,3.752,0,0.629,2.003,Yes
Both,Unk. x Northern Europe,7.198,0.718,10.025,0,5.791,8.605,Yes
Both,M. x South-eastern Asia,-0.243,0.786,-0.309,0.757,-1.783,1.298,No
Both,Unk. x South-eastern Asia,5.432,1.116,4.866,0,3.244,7.621,Yes
Both,M. x Southern Asia,2.208,0.646,3.417,0.001,0.942,3.475,Yes
Both,Unk. x Southern Asia,6.89,0.876,7.865,0,5.173,8.607,Yes
Both,M. x Southern Europe,1.12,0.357,3.134,0.002,0.419,1.82,Yes
Both,Unk. x Southern Europe,-7.812,0,-32378591.723,0,-7.812,-7.812,Yes
Both,M. x USA,0.809,0.278,2.914,0.004,0.265,1.354,Yes
Both,Unk. x USA,6.671,0.424,15.719,0,5.839,7.503,Yes
Both,M. x Western Asia,0.986,0.499,1.977,0.048,0.009,1.963,Yes
Both,Unk. x Western Asia,-1.886,0.537,-3.512,0,-2.938,-0.833,Yes
Both,M. x Western Europe,0.669,0.289,2.315,0.021,0.103,1.235,Yes
Both,Unk. x Western Europe,-12.509,0,-1276982025.511,0,-12.509,-12.509,Yes
Both,M. x South Africa,2.123,1.219,1.741,0.082,-0.267,4.512,No
Both,Unk. x South Africa,-2.844,0,-36590.208,0,-2.844,-2.844,Yes
Both,Tal. x M. x Australia NZ,-6.401,0.524,-12.226,0,-7.428,-5.375,Yes
Both,Tal. x Unk. x Australia NZ,-3.554,0,-284485897.291,0,-3.554,-3.554,Yes
Both,Tal. x M. x Brazil,6.006,0.335,17.915,0,5.349,6.664,Yes
Both,Tal. x Unk. x Brazil,0.289,0,850780788298.362,0,0.289,0.289,Yes
Both,Tal. x M. x Central Asia,0.127,0.477,0.266,0.79,-0.808,1.061,No
Both,Tal. x Unk. x Central Asia,-2.615,0,-8752520.676,0,-2.615,-2.615,Yes
Both,Tal. x M. x China,-5.792,0.402,-14.422,0,-6.579,-5.005,Yes
Both,Tal. x Unk. x China,3.096,0.545,5.679,0,2.028,4.165,Yes
Both,Tal. x M. x Eastern Asia,-6.141,0.44,-13.963,0,-7.003,-5.279,Yes
Both,Tal. x Unk. x Eastern Asia,2.858,0.58,4.928,0,1.721,3.994,Yes
Both,Tal. x M. x Eastern Europe,-5.945,1.267,-4.691,0,-8.429,-3.461,Yes
Both,Tal. x Unk. x Eastern Europe,-3.596,0,-1219324318.044,0,-3.596,-3.596,Yes
Both,Tal. x M. x Latin America Car.,-6.268,1.406,-4.458,0,-9.024,-3.512,Yes
Both,Tal. x Unk. x Latin America Car.,10.907,0.761,14.338,0,9.416,12.398,Yes
Both,Tal. x M. x Melanesia,-0.388,0,-1058467.257,0,-0.388,-0.388,Yes
Both,Tal. x Unk. x Melanesia,0,0,0,1,-0,0,No
Both,Tal. x M. x Northern Africa,3.937,0.494,7.97,0,2.969,4.905,Yes
Both,Tal. x Unk. x Northern Africa,-0.702,0,-740773061.735,0,-0.702,-0.702,Yes
Both,Tal. x M. x Northern America,-5.918,0.579,-10.217,0,-7.054,-4.783,Yes
Both,Tal. x Unk. x Northern America,3.078,1.337,2.302,0.021,0.457,5.699,Yes
Both,Tal. x M. x Northern Europe,-6.444,0.455,-14.162,0,-7.336,-5.552,Yes
Both,Tal. x Unk. x Northern Europe,2.336,0.899,2.6,0.009,0.575,4.098,Yes
Both,Tal. x M. x South-eastern Asia,-5.067,1.227,-4.129,0,-7.472,-2.662,Yes
Both,Tal. x Unk. x South-eastern Asia,-8.726,0,-140207.793,0,-8.726,-8.725,Yes
Both,Tal. x M. x Southern Asia,-7.469,0.907,-8.235,0,-9.247,-5.691,Yes
Both,Tal. x Unk. x Southern Asia,-11.313,0,-4162376.389,0,-11.313,-11.313,Yes
Both,Tal. x M. x Southern Europe,-6.461,0.474,-13.636,0,-7.39,-5.533,Yes
Both,Tal. x Unk. x Southern Europe,-2.455,0,-505196137.601,0,-2.455,-2.455,Yes
Both,Tal. x M. x USA,-6.084,0.343,-17.713,0,-6.757,-5.41,Yes
Both,Tal. x Unk. x USA,1.7,0.553,3.074,0.002,0.616,2.783,Yes
Both,Tal. x M. x Western Asia,-5.878,0.739,-7.951,0,-7.327,-4.429,Yes
Both,Tal. x Unk. x Western Asia,10.59,0.537,19.728,0,9.538,11.642,Yes
Both,Tal. x M. x Western Europe,-5.73,0.386,-14.859,0,-6.486,-4.974,Yes
Both,Tal. x Unk. x Western Europe,-2.992,0,-32987401931.214,0,-2.992,-2.992,Yes
Both,Tal. x M. x South Africa,-5.906,1.634,-3.614,0,-9.109,-2.703,Yes
Internal,Ref. category,-1.441,0.747,-1.928,0.054,-2.906,0.024,No
Internal,Talents,-1.7,0.843,-2.015,0.044,-3.353,-0.047,Yes
Internal,Male,-2.584,0.773,-3.344,0.001,-4.098,-1.069,Yes
Internal,Unk.,-2.396,0.18,-13.31,0,-2.748,-2.043,Yes
Internal,Australia NZ,-1.137,0.78,-1.457,0.145,-2.666,0.392,No
Internal,Brazil,-1.075,0.793,-1.356,0.175,-2.628,0.479,No
Internal,Central Asia,3.593,0,11145.5,0,3.593,3.594,Yes
Internal,China,-1.386,0.756,-1.835,0.067,-2.867,0.095,No
Internal,Eastern Asia,-0.62,0.754,-0.823,0.411,-2.097,0.857,No
Internal,Eastern Europe,-2.723,0.9,-3.024,0.002,-4.488,-0.958,Yes
Internal,Latin America Car.,-1.481,0.921,-1.609,0.108,-3.285,0.323,No
Internal,Melanesia,-0.343,0,-246254.015,0,-0.343,-0.343,Yes
Internal,Northern Africa,-1.097,1.107,-0.991,0.322,-3.266,1.073,No
Internal,Northern America,-1.702,0.79,-2.154,0.031,-3.252,-0.153,Yes
Internal,Northern Europe,-1.723,0.757,-2.275,0.023,-3.207,-0.239,Yes
Internal,South-eastern Asia,-1.166,1.089,-1.071,0.284,-3.301,0.969,No
Internal,Southern Asia,-1.105,0.803,-1.376,0.169,-2.678,0.469,No
Internal,Southern Europe,-1.455,0.749,-1.942,0.052,-2.923,0.013,No
Internal,USA,-0.089,0.744,-0.119,0.905,-1.547,1.37,No
Internal,Western Asia,-2.866,1.019,-2.813,0.005,-4.864,-0.869,Yes
Internal,Western Europe,-0.876,0.748,-1.172,0.241,-2.342,0.589,No
Internal,South Africa,-1.833,1.311,-1.398,0.162,-4.402,0.736,No
Internal,Academic age,0.095,0.006,16.683,0,0.084,0.107,Yes
Internal,Tal. x M.,2.993,0.807,3.711,0,1.413,4.574,Yes
Internal,Tal. x Unk.,-1.645,0.268,-6.145,0,-2.169,-1.12,Yes
Internal,Tal. x Australia NZ,1.792,0.91,1.97,0.049,0.009,3.575,Yes
Internal,Tal. x Brazil,1.605,0.991,1.621,0.105,-0.336,3.547,No
Internal,Tal. x Central Asia,-11.535,0,-174875.583,0,-11.535,-11.534,Yes
Internal,Tal. x China,1.375,0.872,1.577,0.115,-0.334,3.085,No
Internal,Tal. x Eastern Asia,1.55,0.87,1.783,0.075,-0.154,3.255,No
Internal,Tal. x Eastern Europe,-8.141,0.741,-10.989,0,-9.593,-6.689,Yes
Internal,Tal. x Latin America Car.,1.728,1.497,1.154,0.248,-1.206,4.663,No
Internal,Tal. x Melanesia,-0.343,0,-246254.008,0,-0.343,-0.343,Yes
Internal,Tal. x Northern Africa,-4.131,0.797,-5.18,0,-5.694,-2.568,Yes
Internal,Tal. x Northern America,1.781,0.934,1.907,0.056,-0.049,3.612,No
Internal,Tal. x Northern Europe,1.381,0.877,1.575,0.115,-0.338,3.099,No
Internal,Tal. x South-eastern Asia,1.763,1.423,1.239,0.215,-1.026,4.552,No
Internal,Tal. x Southern Asia,1.233,0.988,1.247,0.212,-0.704,3.17,No
Internal,Tal. x Southern Europe,1.258,0.867,1.451,0.147,-0.441,2.958,No
Internal,Tal. x USA,1.736,0.85,2.042,0.041,0.069,3.403,Yes
Internal,Tal. x Western Asia,3.641,1.169,3.115,0.002,1.35,5.931,Yes
Internal,Tal. x Western Europe,1.554,0.863,1.799,0.072,-0.139,3.246,No
Internal,Tal. x South Africa,-9.774,0.806,-12.126,0,-11.354,-8.195,Yes
Internal,M. x Australia NZ,2.754,0.83,3.319,0.001,1.128,4.381,Yes
Internal,Unk. x Australia NZ,3.939,0.929,4.238,0,2.117,5.76,Yes
Internal,M. x Brazil,2.985,0.843,3.54,0,1.332,4.638,Yes
Internal,Unk. x Brazil,3.028,0.525,5.765,0,1.998,4.057,Yes
Internal,M. x Central Asia,-2.522,0,-110738.392,0,-2.522,-2.522,Yes
Internal,Unk. x Central Asia,11.05,0,76033.703,0,11.049,11.05,Yes
Internal,M. x China,2.673,0.791,3.377,0.001,1.122,4.224,Yes
Internal,Unk. x China,2.58,0.248,10.401,0,2.094,3.066,Yes
Internal,M. x Eastern Asia,2.656,0.788,3.371,0.001,1.112,4.2,Yes
Internal,Unk. x Eastern Asia,1.641,0.252,6.52,0,1.148,2.134,Yes
Internal,M. x Eastern Europe,3.454,0.948,3.644,0,1.596,5.313,Yes
Internal,Unk. x Eastern Europe,2.467,0.866,2.848,0.004,0.769,4.164,Yes
Internal,M. x Latin America Car.,2.958,0.971,3.048,0.002,1.056,4.86,Yes
Internal,Unk. x Latin America Car.,3.528,0.87,4.054,0,1.822,5.234,Yes
Internal,M. x Melanesia,-0.343,0,-246254.033,0,-0.343,-0.343,Yes
Internal,M. x Northern Africa,1.985,1.211,1.639,0.101,-0.388,4.359,No
Internal,Unk. x Northern Africa,-5.543,0.678,-8.172,0,-6.873,-4.214,Yes
Internal,M. x Northern America,2.885,0.841,3.431,0.001,1.237,4.533,Yes
Internal,Unk. x Northern America,2.254,0.682,3.305,0.001,0.917,3.591,Yes
Internal,M. x Northern Europe,2.165,0.798,2.714,0.007,0.602,3.729,Yes
Internal,Unk. x Northern Europe,2.622,0.402,6.522,0,1.834,3.41,Yes
Internal,M. x South-eastern Asia,0.562,1.478,0.38,0.704,-2.336,3.459,No
Internal,Unk. x South-eastern Asia,0.908,1.264,0.718,0.473,-1.569,3.384,No
Internal,M. x Southern Asia,2.415,0.851,2.84,0.005,0.748,4.082,Yes
Internal,Unk. x Southern Asia,1.529,0.479,3.191,0.001,0.59,2.469,Yes
Internal,M. x Southern Europe,2.385,0.787,3.03,0.002,0.842,3.928,Yes
Internal,Unk. x Southern Europe,1.446,0.539,2.68,0.007,0.389,2.503,Yes
Internal,M. x USA,2.465,0.778,3.168,0.002,0.94,3.99,Yes
Internal,Unk. x USA,2.09,0.239,8.742,0,1.621,2.558,Yes
Internal,M. x Western Asia,4.301,1.052,4.086,0,2.238,6.363,Yes
Internal,Unk. x Western Asia,4.468,0.915,4.884,0,2.675,6.26,Yes
Internal,M. x Western Europe,2.447,0.783,3.126,0.002,0.913,3.981,Yes
Internal,Unk. x Western Europe,2.154,0.344,6.258,0,1.479,2.828,Yes
Internal,M. x South Africa,2.927,1.55,1.889,0.059,-0.11,5.964,No
Internal,Unk. x South Africa,-8.582,0,-263266.87,0,-8.582,-8.582,Yes
Internal,Tal. x M. x Australia NZ,-3.063,0.907,-3.377,0.001,-4.841,-1.285,Yes
Internal,Tal. x Unk. x Australia NZ,0.378,1.115,0.339,0.735,-1.807,2.563,No
Internal,Tal. x M. x Brazil,-3.574,1.013,-3.53,0,-5.558,-1.589,Yes
Internal,Tal. x Unk. x Brazil,-0.64,1.2,-0.533,0.594,-2.992,1.713,No
Internal,Tal. x M. x Central Asia,0.024,0,4295517721.047,0,0.024,0.024,Yes
Internal,Tal. x Unk. x Central Asia,-11.559,0,-175239.781,0,-11.559,-11.558,Yes
Internal,Tal. x M. x China,-2.907,0.844,-3.444,0.001,-4.561,-1.253,Yes
Internal,Tal. x Unk. x China,1.595,0.366,4.36,0,0.878,2.312,Yes
Internal,Tal. x M. x Eastern Asia,-2.834,0.838,-3.38,0.001,-4.477,-1.191,Yes
Internal,Tal. x Unk. x Eastern Asia,1.74,0.371,4.683,0,1.012,2.468,Yes
Internal,Tal. x M. x Eastern Europe,6.694,0.755,8.862,0,5.214,8.175,Yes
Internal,Tal. x Unk. x Eastern Europe,10.952,0.761,14.385,0,9.459,12.444,Yes
Internal,Tal. x M. x Latin America Car.,-3.046,1.546,-1.97,0.049,-6.075,-0.016,Yes
Internal,Tal. x Unk. x Latin America Car.,0.706,1.8,0.392,0.695,-2.823,4.235,No
Internal,Tal. x M. x Melanesia,-0.343,0,-246254.025,0,-0.343,-0.343,Yes
Internal,Tal. x Unk. x Melanesia,0,0,0,1,-0,0,No
Internal,Tal. x M. x Northern Africa,3.067,0.883,3.471,0.001,1.335,4.798,Yes
Internal,Tal. x Unk. x Northern Africa,15.992,0.678,23.584,0,14.663,17.32,Yes
Internal,Tal. x M. x Northern America,-2.836,0.935,-3.033,0.002,-4.668,-1.003,Yes
Internal,Tal. x Unk. x Northern America,2.315,0.914,2.533,0.011,0.523,4.107,Yes
Internal,Tal. x M. x Northern Europe,-2.598,0.856,-3.034,0.002,-4.276,-0.92,Yes
Internal,Tal. x Unk. x Northern Europe,1.424,0.57,2.499,0.012,0.307,2.54,Yes
Internal,Tal. x M. x South-eastern Asia,-1.897,1.85,-1.025,0.305,-5.523,1.729,No
Internal,Tal. x Unk. x South-eastern Asia,1.083,1.787,0.606,0.544,-2.419,4.585,No
Internal,Tal. x M. x Southern Asia,-3.12,0.997,-3.129,0.002,-5.074,-1.166,Yes
