Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-10.42,0.288,-36.179,0,-10.985,-9.856,Yes
Both,Talents,1.156,0.309,3.745,0,0.551,1.762,Yes
Both,Male,-1.131,0.251,-4.512,0,-1.623,-0.64,Yes
Both,Unknown,-4.545,0.267,-16.999,0,-5.068,-4.021,Yes
Both,Brazil,5.67,0.496,11.439,0,4.698,6.641,Yes
Both,China,6.448,0.284,22.703,0,5.892,7.005,Yes
Both,East Asia Pacific,6.511,0.28,23.221,0,5.961,7.06,Yes
Both,Europe Central Asia,5.701,0.257,22.168,0,5.197,6.206,Yes
Both,Latin America Caribbean,5.797,0.734,7.903,0,4.359,7.235,Yes
Both,Middle East North Africa,6.504,0.463,14.054,0,5.597,7.411,Yes
Both,North America,6.192,0.362,17.117,0,5.483,6.901,Yes
Both,South Asia,5.576,0.606,9.208,0,4.39,6.763,Yes
Both,USA,6.434,0.266,24.198,0,5.913,6.955,Yes
Both,South Africa,6.195,1.024,6.051,0,4.188,8.201,Yes
Both,Academic age,0.147,0.009,16.383,0,0.13,0.165,Yes
Both,Tal. x M.,7.092,0.322,22.027,0,6.461,7.723,Yes
Both,Tal. x Unk.,0.187,0.338,0.554,0.579,-0.476,0.851,No
Both,Tal. x Brazil,-12.531,0.328,-38.192,0,-13.174,-11.888,Yes
Both,Tal. x China,-1.801,0.39,-4.618,0,-2.565,-1.037,Yes
Both,Tal. x EastAsiaPa,-1.406,0.378,-3.72,0,-2.146,-0.665,Yes
Both,Tal. x EuropeCenAs,-1.215,0.342,-3.549,0,-1.886,-0.544,Yes
Both,Tal. x LatinAmeriCar,-0.415,1.278,-0.325,0.745,-2.921,2.09,No
Both,Tal. x MENA,-1.037,0.683,-1.519,0.129,-2.375,0.301,No
Both,Tal. x NorthAmer,-1.452,0.524,-2.774,0.006,-2.478,-0.426,Yes
Both,Tal. x SouthAsi,-1.268,0.92,-1.379,0.168,-3.07,0.535,No
Both,Tal. x USA,-1.089,0.347,-3.14,0.002,-1.768,-0.409,Yes
Both,Tal. x SouthAfrica,-1.912,1.411,-1.355,0.175,-4.679,0.854,No
Both,M. x Brazil,1.04,0.606,1.716,0.086,-0.148,2.228,No
Both,Unk. x Brazil,-7.241,0,-985937.317,0,-7.241,-7.241,Yes
Both,M. x China,0.82,0.309,2.653,0.008,0.214,1.425,Yes
Both,Unk. x China,2.038,0.398,5.127,0,1.259,2.817,Yes
Both,M. x EastAsiaPa,0.972,0.301,3.233,0.001,0.383,1.561,Yes
Both,Unk. x EastAsiaPa,2.329,0.397,5.869,0,1.551,3.107,Yes
Both,M. x EuropeCenAs,1.276,0.274,4.648,0,0.738,1.814,Yes
Both,Unk. x EuropeCenAs,2.339,0.663,3.526,0,1.039,3.639,Yes
Both,M. x LatinAmeriCar,1.61,0.787,2.046,0.041,0.068,3.152,Yes
Both,Unk. x LatinAmeriCar,-2.736,0.754,-3.627,0,-4.214,-1.257,Yes
Both,M. x MENA,0.878,0.515,1.706,0.088,-0.131,1.886,No
Both,Unk. x MENA,-4.911,0.531,-9.255,0,-5.951,-3.871,Yes
Both,M. x NorthAmer,1.586,0.408,3.892,0,0.787,2.385,Yes
Both,Unk. x NorthAmer,3.374,0.948,3.56,0,1.516,5.231,Yes
Both,M. x SouthAsi,2.686,0.641,4.191,0,1.43,3.943,Yes
Both,Unk. x SouthAsi,3.465,0.862,4.019,0,1.775,5.155,Yes
Both,M. x USA,1.057,0.286,3.701,0,0.497,1.617,Yes
Both,Unk. x USA,3.408,0.412,8.273,0,2.6,4.215,Yes
Both,M. x SouthAfrica,2.328,1.165,1.997,0.046,0.043,4.612,Yes
Both,Unk. x SouthAfrica,-3.553,0.001,-3655.572,0,-3.554,-3.551,Yes
Both,Tal. x M. x Brazil,4.276,0.328,13.032,0,3.633,4.919,Yes
Both,Tal. x Unk. x Brazil,-0.639,0,-6001284671.441,0,-0.639,-0.639,Yes
Both,Tal. x M. x China,-6.344,0.421,-15.07,0,-7.169,-5.519,Yes
Both,Tal. x Unk. x China,0.413,0.541,0.764,0.445,-0.647,1.474,No
Both,Tal. x M. x EastAsiaPa,-6.671,0.404,-16.497,0,-7.463,-5.878,Yes
Both,Tal. x Unk. x EastAsiaPa,-0.029,0.541,-0.054,0.957,-1.09,1.031,No
Both,Tal. x M. x EuropeCenAs,-6.517,0.363,-17.975,0,-7.228,-5.807,Yes
Both,Tal. x Unk. x EuropeCenAs,-0.272,0.846,-0.321,0.748,-1.931,1.387,No
Both,Tal. x M. x LatinAmeriCar,-6.817,1.361,-5.01,0,-9.484,-4.15,Yes
Both,Tal. x Unk. x LatinAmeriCar,7.191,0.753,9.554,0,5.716,8.666,Yes
Both,Tal. x M. x MENA,-6.814,0.743,-9.172,0,-8.271,-5.358,Yes
Both,Tal. x Unk. x MENA,7.605,0.53,14.335,0,6.565,8.645,Yes
Both,Tal. x M. x NorthAmer,-6.464,0.582,-11.105,0,-7.604,-5.323,Yes
Both,Tal. x Unk. x NorthAmer,0.405,1.328,0.305,0.76,-2.198,3.009,No
Both,Tal. x M. x SouthAsi,-7.285,0.989,-7.366,0,-9.223,-5.346,Yes
Both,Tal. x Unk. x SouthAsi,-10.45,0,-176067.259,0,-10.45,-10.45,Yes
Both,Tal. x M. x USA,-6.632,0.37,-17.906,0,-7.358,-5.906,Yes
Both,Tal. x Unk. x USA,-0.979,0.549,-1.784,0.074,-2.054,0.096,No
Both,Tal. x M. x SouthAfrica,-6.384,1.578,-4.047,0,-9.476,-3.292,Yes
Both,Tal. x Unk. x SouthAfrica,0,0,0,1,-0,0,No
Internal,Ref. category,-1.338,0.762,-1.755,0.079,-2.832,0.156,No
Internal,Talents,-1.809,0.845,-2.141,0.032,-3.466,-0.153,Yes
Internal,Male,-2.706,0.805,-3.36,0.001,-4.285,-1.128,Yes
Internal,Unknown,-2.904,0.173,-16.829,0,-3.242,-2.565,Yes
Internal,Brazil,-1.158,0.805,-1.44,0.15,-2.735,0.419,No
Internal,China,-1.468,0.77,-1.906,0.057,-2.977,0.041,No
Internal,East Asia Pacific,-0.849,0.765,-1.11,0.267,-2.347,0.649,No
Internal,Europe Central Asia,-1.429,0.758,-1.884,0.059,-2.915,0.057,No
Internal,Latin America Caribbean,-1.558,0.925,-1.685,0.092,-3.371,0.254,No
Internal,Middle East North Africa,-2.41,0.95,-2.538,0.011,-4.271,-0.549,Yes
Internal,North America,-1.785,0.803,-2.223,0.026,-3.358,-0.212,Yes
Internal,South Asia,-0.939,0.819,-1.147,0.251,-2.544,0.666,No
Internal,USA,-0.171,0.759,-0.226,0.822,-1.659,1.317,No
Internal,South Africa,-1.918,1.314,-1.459,0.145,-4.494,0.659,No
Internal,Academic age,0.094,0.006,16.541,0,0.083,0.105,Yes
Internal,Tal. x M.,3.156,0.779,4.052,0,1.629,4.683,Yes
Internal,Tal. x Unk.,-2.386,0.296,-8.068,0,-2.966,-1.806,Yes
Internal,Tal. x Brazil,1.715,0.986,1.739,0.082,-0.218,3.648,No
Internal,Tal. x China,1.483,0.873,1.699,0.089,-0.227,3.193,No
Internal,Tal. x EastAsiaPa,1.716,0.863,1.989,0.047,0.025,3.406,Yes
Internal,Tal. x EuropeCenAs,1.515,0.853,1.777,0.076,-0.156,3.186,No
Internal,Tal. x LatinAmeriCar,1.818,1.478,1.23,0.219,-1.078,4.715,No
Internal,Tal. x MENA,2.244,1.177,1.906,0.057,-0.063,4.551,No
