Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-4.29,1.018,-4.216,0,-6.285,-2.296,Yes
Both,Talents,-10.802,0.481,-22.441,0,-11.746,-9.859,Yes
Both,Male,-1.268,1.21,-1.048,0.295,-3.639,1.103,No
Both,Unknown,-9.498,0.238,-39.97,0,-9.964,-9.033,Yes
Both,Americas,0.023,1.041,0.022,0.983,-2.018,2.063,No
Both,Asia,0.237,1.018,0.232,0.816,-1.759,2.232,No
Both,Brazil,-0.447,1.11,-0.403,0.687,-2.622,1.728,No
Both,China,0.335,1.018,0.329,0.742,-1.66,2.33,No
Both,Europe,-0.413,1.01,-0.409,0.682,-2.392,1.566,No
Both,Oceania,0.449,1.042,0.431,0.666,-1.593,2.492,No
Both,USA,0.32,1.012,0.316,0.752,-1.664,2.304,No
Both,South Africa,0.047,1.484,0.031,0.975,-2.861,2.955,No
Both,Academic age,0.147,0.009,16.285,0,0.129,0.164,Yes
Both,Tal. x M.,13.256,0.484,27.392,0,12.308,14.205,Yes
Both,Tal. x Unk.,-2.894,0.312,-9.291,0,-3.505,-2.284,Yes
Both,Tal. x Americas,10.612,0.617,17.188,0,9.402,11.822,Yes
Both,Tal. x Asia,10.542,0.533,19.77,0,9.497,11.587,Yes
Both,Tal. x Brazil,-17.766,0.517,-34.381,0,-18.779,-16.753,Yes
Both,Tal. x China,10.155,0.534,19.017,0,9.108,11.202,Yes
Both,Tal. x Europe,10.744,0.503,21.379,0,9.759,11.729,Yes
Both,Tal. x Oceania,10.77,0.595,18.103,0,9.604,11.936,Yes
Both,Tal. x USA,10.87,0.505,21.519,0,9.88,11.86,Yes
Both,Tal. x SouthAfrica,10.102,1.421,7.111,0,7.318,12.887,Yes
Both,M. x Americas,1.666,1.25,1.332,0.183,-0.784,4.116,No
Both,Unk. x Americas,8.126,0.905,8.981,0,6.353,9.899,Yes
Both,M. x Asia,1.206,1.224,0.986,0.324,-1.192,3.605,No
Both,Unk. x Asia,7.449,0.359,20.744,0,6.745,8.153,Yes
Both,M. x Brazil,1.176,1.351,0.871,0.384,-1.471,3.823,No
Both,Unk. x Brazil,-15.717,0,-43328445133.598,0,-15.717,-15.717,Yes
Both,M. x China,0.955,1.225,0.779,0.436,-1.447,3.357,No
Both,Unk. x China,6.99,0.371,18.82,0,6.262,7.718,Yes
Both,M. x Europe,1.409,1.216,1.158,0.247,-0.975,3.792,No
Both,Unk. x Europe,7.312,0.635,11.514,0,6.068,8.557,Yes
Both,M. x Oceania,1.856,1.254,1.48,0.139,-0.601,4.313,No
Both,Unk. x Oceania,-11.349,0,-14486550359.745,0,-11.349,-11.349,Yes
Both,M. x USA,1.194,1.219,0.979,0.327,-1.195,3.582,No
Both,Unk. x USA,8.36,0.386,21.66,0,7.603,9.116,Yes
Both,M. x SouthAfrica,2.496,1.734,1.44,0.15,-0.902,5.894,No
Both,Unk. x SouthAfrica,-7.763,0,-70799993.062,0,-7.763,-7.763,Yes
