Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-8.318,0.594,-13.991,0,-9.483,-7.152,Yes
Both,Talents,4.251,0.572,7.428,0,3.13,5.373,Yes
Both,Male,-2.404,0.695,-3.46,0.001,-3.766,-1.043,Yes
Both,Unk.,-4.523,0.306,-14.765,0,-5.124,-3.923,Yes
Both,Australia NZ,4.519,0.631,7.16,0,3.282,5.756,Yes
Both,Brazil,3.555,0.728,4.883,0,2.128,4.983,Yes
Both,Central Asia,8.946,0.481,18.608,0,8.004,9.888,Yes
Both,China,3.544,0.593,5.982,0,2.383,4.706,Yes
Both,Eastern Asia,3.914,0.598,6.548,0,2.742,5.085,Yes
Both,Eastern Europe,2.798,0.798,3.504,0,1.233,4.363,Yes
Both,Latin America Car.,3.691,0.922,4.003,0,1.884,5.498,Yes
Both,Melanesia,-0.325,0,-410677.285,0,-0.325,-0.325,Yes
Both,Northern Africa,-5.924,0.353,-16.793,0,-6.615,-5.233,Yes
Both,Northern America,3.879,0.65,5.97,0,2.606,5.153,Yes
Both,Northern Europe,3.393,0.613,5.537,0,2.192,4.593,Yes
Both,South-eastern Asia,7,1.202,5.826,0,4.645,9.355,Yes
Both,Southern Asia,4.011,0.711,5.641,0,2.617,5.405,Yes
Both,Southern Europe,2.911,0.615,4.734,0,1.706,4.116,Yes
Both,USA,4.306,0.584,7.377,0,3.162,5.45,Yes
Both,Western Asia,4.509,0.679,6.645,0,3.179,5.839,Yes
Both,Western Europe,4.353,0.587,7.418,0,3.203,5.503,Yes
Both,South Africa,4.337,1.187,3.653,0,2.01,6.665,Yes
Both,Academic age,0.145,0.009,16.189,0,0.128,0.163,Yes
Both,Tal. x M.,2.466,0.695,3.546,0,1.103,3.829,Yes
Both,Tal. x Unk.,-4.096,0.397,-10.319,0,-4.873,-3.318,Yes
Both,Tal. x Australia NZ,-4.21,0.69,-6.098,0,-5.563,-2.857,Yes
Both,Tal. x Brazil,-5.115,1.237,-4.137,0,-7.539,-2.692,Yes
Both,Tal. x Central Asia,-8.563,0.555,-15.441,0,-9.65,-7.476,Yes
Both,Tal. x China,-4.225,0.614,-6.877,0,-5.429,-3.021,Yes
Both,Tal. x Eastern Asia,-5.024,0.647,-7.76,0,-6.293,-3.755,Yes
Both,Tal. x Eastern Europe,-3.586,1.078,-3.328,0.001,-5.698,-1.474,Yes
Both,Tal. x Latin America Car.,-2.728,1.278,-2.135,0.033,-5.233,-0.223,Yes
Both,Tal. x Melanesia,-0.325,0,-410594.427,0,-0.325,-0.325,Yes
Both,Tal. x Northern Africa,-4.256,0.455,-9.362,0,-5.147,-3.365,Yes
Both,Tal. x Northern America,-4.312,0.739,-5.832,0,-5.761,-2.863,Yes
Both,Tal. x Northern Europe,-4.331,0.659,-6.57,0,-5.623,-3.039,Yes
Both,Tal. x South-eastern Asia,-8.167,1.579,-5.171,0,-11.263,-5.072,Yes
Both,Tal. x Southern Asia,-4.713,1.021,-4.615,0,-6.715,-2.711,Yes
Both,Tal. x Southern Europe,-4.112,0.669,-6.145,0,-5.424,-2.8,Yes
Both,Tal. x USA,-4.109,0.595,-6.901,0,-5.276,-2.942,Yes
Both,Tal. x Western Asia,-4.808,0.916,-5.248,0,-6.604,-3.012,Yes
Both,Tal. x Western Europe,-4.331,0.616,-7.026,0,-5.539,-3.123,Yes
Both,Tal. x South Africa,-5.109,1.591,-3.211,0.001,-8.227,-1.99,Yes
Both,M. x Australia NZ,2.949,0.764,3.862,0,1.453,4.446,Yes
Both,Unk. x Australia NZ,-0.008,0.663,-0.013,0.99,-1.309,1.292,No
Both,M. x Brazil,2.253,0.9,2.504,0.012,0.489,4.017,Yes
Both,Unk. x Brazil,-6.364,0,-718281.163,0,-6.364,-6.364,Yes
Both,M. x Central Asia,8.946,0.481,18.608,0,8.004,9.888,Yes
Both,Unk. x Central Asia,0,0,0,1,-0,0,No
Both,M. x China,2.628,0.718,3.658,0,1.22,4.035,Yes
Both,Unk. x China,4.494,0.753,5.967,0,3.018,5.97,Yes
Both,M. x Eastern Asia,2.253,0.723,3.117,0.002,0.836,3.669,Yes
Both,Unk. x Eastern Asia,4.766,0.61,7.815,0,3.571,5.962,Yes
Both,M. x Eastern Europe,2.886,0.93,3.105,0.002,1.065,4.708,Yes
Both,Unk. x Eastern Europe,-6.186,0,-1125844.544,0,-6.186,-6.186,Yes
Both,M. x Latin America Car.,2.849,1.045,2.726,0.006,0.801,4.897,Yes
Both,Unk. x Latin America Car.,5.249,1.281,4.098,0,2.738,7.76,Yes
Both,M. x Melanesia,-0.325,0,-410270.641,0,-0.325,-0.325,Yes
Both,Unk. x Melanesia,0,0,0,1,-0,0,No
Both,M. x Northern Africa,11.796,0.353,33.45,0,11.105,12.487,Yes
Both,Unk. x Northern Africa,-1.013,0,-2882426.057,0,-1.013,-1.013,Yes
Both,M. x Northern America,3.077,0.78,3.946,0,1.549,4.605,Yes
Both,Unk. x Northern America,6.133,1.348,4.55,0,3.491,8.775,Yes
Both,M. x Northern Europe,2.685,0.739,3.632,0,1.236,4.133,Yes
Both,Unk. x Northern Europe,5.667,0.839,6.754,0,4.023,7.312,Yes
Both,M. x South-eastern Asia,-0.275,1.319,-0.208,0.835,-2.86,2.31,No
Both,Unk. x South-eastern Asia,-14.223,0,-27851066.003,0,-14.223,-14.223,Yes
Both,M. x Southern Asia,2.472,0.835,2.961,0.003,0.835,4.108,Yes
Both,Unk. x Southern Asia,5.193,0.813,6.386,0,3.599,6.787,Yes
Both,M. x Southern Europe,2.658,0.746,3.561,0,1.195,4.121,Yes
Both,Unk. x Southern Europe,4.563,1.004,4.543,0,2.594,6.531,Yes
