Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-11.928,0.605,-19.716,0,-13.114,-10.742,Yes
Both,Talents,7.894,0.584,13.513,0,6.749,9.039,Yes
Both,Male,-4.84,0.709,-6.828,0,-6.229,-3.45,Yes
Both,Unknown,-4.817,0.331,-14.566,0,-5.466,-4.169,Yes
Both,Brazil,7.232,0.727,9.951,0,5.808,8.657,Yes
Both,China,7.205,0.603,11.954,0,6.023,8.386,Yes
Both,East Asia Pacific,7.81,0.599,13.039,0,6.636,8.984,Yes
Both,Europe Central Asia,7.346,0.591,12.44,0,6.189,8.504,Yes
Both,Latin America Caribbean,7.394,0.901,8.202,0,5.627,9.16,Yes
Both,Middle East North Africa,7.8,0.738,10.567,0,6.353,9.246,Yes
Both,North America,7.542,0.655,11.507,0,6.257,8.826,Yes
Both,South Asia,7.936,0.718,11.059,0,6.53,9.343,Yes
Both,USA,7.965,0.595,13.396,0,6.8,9.131,Yes
Both,South Africa,7.885,1.183,6.667,0,5.567,10.203,Yes
Both,Academic age,0.143,0.009,16.01,0,0.125,0.16,Yes
Both,Tal. x M.,4.899,0.71,6.896,0,3.506,6.291,Yes
Both,Tal. x Unk.,-7.068,0.376,-18.798,0,-7.804,-6.331,Yes
Both,Tal. x Brazil,-8.772,1.221,-7.183,0,-11.166,-6.379,Yes
Both,Tal. x China,-7.869,0.624,-12.62,0,-9.091,-6.647,Yes
Both,Tal. x EastAsiaPa,-8.444,0.624,-13.521,0,-9.668,-7.22,Yes
Both,Tal. x EuropeCenAs,-7.983,0.604,-13.217,0,-9.166,-6.799,Yes
Both,Tal. x LatinAmeriCar,-6.436,1.257,-5.118,0,-8.901,-3.971,Yes
Both,Tal. x MENA,-7.968,0.957,-8.33,0,-9.843,-6.093,Yes
Both,Tal. x NorthAmer,-7.96,0.742,-10.727,0,-9.414,-6.506,Yes
Both,Tal. x SouthAsi,-8.672,1.236,-7.014,0,-11.095,-6.249,Yes
Both,Tal. x USA,-7.75,0.606,-12.794,0,-8.938,-6.563,Yes
Both,Tal. x SouthAfrica,-8.577,1.562,-5.491,0,-11.639,-5.516,Yes
Both,M. x Brazil,4.668,0.897,5.202,0,2.909,6.427,Yes
