Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-12.333,0.674,-18.296,0,-13.654,-11.012,Yes
Both,Talents,8.075,0.661,12.211,0,6.779,9.371,Yes
Both,Male,7.23,0.657,11.002,0,5.942,8.518,Yes
Both,Unknown,-8.281,0.303,-27.358,0,-8.874,-7.688,Yes
Both,Americas,7.928,0.707,11.219,0,6.543,9.313,Yes
Both,Asia,8.154,0.668,12.213,0,6.845,9.463,Yes
Both,Brazil,7.637,0.779,9.802,0,6.11,9.164,Yes
Both,China,7.61,0.671,11.348,0,6.295,8.924,Yes
Both,Europe,7.734,0.66,11.711,0,6.439,9.028,Yes
Both,Oceania,8.584,0.701,12.238,0,7.209,9.959,Yes
Both,USA,8.37,0.664,12.613,0,7.07,9.671,Yes
Both,South Africa,8.296,1.199,6.919,0,5.946,10.646,Yes
Both,Academic age,0.143,0.009,15.976,0,0.125,0.16,Yes
Both,Tal. x M.,-6.403,0.732,-8.749,0,-7.837,-4.969,Yes
Both,Tal. x Unk.,-2.923,0.378,-7.738,0,-3.664,-2.183,Yes
Both,Tal. x Americas,-7.975,0.779,-10.239,0,-9.502,-6.449,Yes
Both,Tal. x Asia,-8.911,0.706,-12.626,0,-10.295,-7.528,Yes
Both,Tal. x Brazil,-8.954,1.248,-7.177,0,-11.399,-6.508,Yes
Both,Tal. x China,-8.05,0.695,-11.582,0,-9.412,-6.688,Yes
Both,Tal. x Europe,-8.141,0.679,-11.997,0,-9.471,-6.811,Yes
Both,Tal. x Oceania,-8.035,0.758,-10.604,0,-9.52,-6.55,Yes
Both,Tal. x USA,-7.931,0.68,-11.669,0,-9.263,-6.599,Yes
Both,Tal. x SouthAfrica,-8.767,1.565,-5.601,0,-11.835,-5.699,Yes
Both,M. x Americas,-6.659,0.725,-9.185,0,-8.08,-5.238,Yes
Both,Unk. x Americas,9.205,0.823,11.188,0,7.592,10.818,Yes
Both,M. x Asia,-7.408,0.675,-10.973,0,-8.732,-6.085,Yes
Both,Unk. x Asia,8.443,0.479,17.642,0,7.505,9.381,Yes
Both,M. x Brazil,-7.402,0.858,-8.628,0,-9.083,-5.72,Yes
Both,Unk. x Brazil,-13.327,0,-78306068140.604,0,-13.327,-13.327,Yes
Both,M. x China,-7.007,0.68,-10.306,0,-8.34,-5.675,Yes
Both,Unk. x China,8.251,0.697,11.845,0,6.885,9.616,Yes
Both,M. x Europe,-7.19,0.667,-10.786,0,-8.497,-5.884,Yes
Both,Unk. x Europe,8.082,0.499,16.204,0,7.104,9.059,Yes
Both,M. x Oceania,-6.687,0.725,-9.229,0,-8.107,-5.267,Yes
Both,Unk. x Oceania,-1.463,0.624,-2.346,0.019,-2.686,-0.241,Yes
Both,M. x USA,-7.279,0.671,-10.85,0,-8.594,-5.964,Yes
Both,Unk. x USA,6.835,0.899,7.607,0,5.074,8.596,Yes
Both,M. x SouthAfrica,-6.382,1.318,-4.842,0,-8.965,-3.799,Yes
Both,Unk. x SouthAfrica,-11.785,0,-4093522945.235,0,-11.785,-11.785,Yes
Both,Tal. x M. x Americas,6.774,0.866,7.82,0,5.076,8.472,Yes
Both,Tal. x M. x Asia,7.43,0.78,9.526,0,5.901,8.959,Yes
Both,Tal. x Unk. x Asia,3.066,0.696,4.406,0,1.702,4.431,Yes
Both,Tal. x M. x Brazil,7.042,1.409,4.999,0,4.281,9.803,Yes
Both,Tal. x M. x China,6.291,0.773,8.133,0,4.775,7.807,Yes
Both,Tal. x Unk. x China,3.696,0.851,4.344,0,2.029,5.364,Yes
Both,Tal. x M. x Europe,6.923,0.752,9.205,0,5.449,8.397,Yes
Both,Tal. x Unk. x Europe,2.979,0.69,4.318,0,1.627,4.331,Yes
Both,Tal. x M. x Oceania,6.375,0.851,7.491,0,4.707,8.042,Yes
Both,Tal. x Unk. x Oceania,13.663,0.624,21.898,0,12.44,14.886,Yes
Both,Tal. x M. x USA,6.632,0.754,8.79,0,5.153,8.11,Yes
Both,Tal. x Unk. x USA,4.384,1.012,4.332,0,2.4,6.367,Yes
Both,Tal. x M. x SouthAfrica,7.209,1.741,4.14,0,3.796,10.622,Yes
Both,Tal. x Unk. x SouthAfrica,0,0,0,1,-0,0,No
Internal,Ref. category,-1.907,0.689,-2.767,0.006,-3.258,-0.556,Yes
Internal,Talents,-22.357,0.338,-66.19,0,-23.019,-21.695,Yes
Internal,Male,-1.431,0.783,-1.826,0.068,-2.966,0.105,No
Internal,Unknown,-22.605,0.22,-102.693,0,-23.036,-22.174,Yes
Internal,Americas,-0.997,0.722,-1.382,0.167,-2.412,0.417,No
Internal,Asia,-0.655,0.691,-0.947,0.343,-2.01,0.7,No
Internal,Brazil,-0.629,0.741,-0.849,0.396,-2.082,0.823,No
Internal,China,-0.953,0.691,-1.379,0.168,-2.307,0.401,No
Internal,Europe,-0.863,0.686,-1.259,0.208,-2.206,0.481,No
Internal,Oceania,-0.73,0.732,-0.998,0.318,-2.164,0.704,No
Internal,USA,0.352,0.686,0.513,0.608,-0.993,1.697,No
Internal,South Africa,-1.197,1.301,-0.92,0.357,-3.748,1.353,No
Internal,Academic age,0.095,0.006,16.677,0,0.084,0.106,Yes
Internal,Tal. x M.,23.039,0.338,68.105,0,22.376,23.702,Yes
Internal,Tal. x Unk.,-9.018,0.353,-25.549,0,-9.71,-8.327,Yes
Internal,Tal. x Americas,22.132,0.475,46.55,0,21.2,23.064,Yes
Internal,Tal. x Asia,22.249,0.369,60.332,0,21.526,22.971,Yes
Internal,Tal. x Brazil,21.858,0.613,35.677,0,20.657,23.059,Yes
Internal,Tal. x China,22.125,0.368,60.123,0,21.403,22.846,Yes
Internal,Tal. x Europe,22.031,0.354,62.231,0,21.337,22.724,Yes
Internal,Tal. x Oceania,22.694,0.463,49.004,0,21.786,23.601,Yes
Internal,Tal. x USA,22.385,0.351,63.692,0,21.696,23.074,Yes
Internal,Tal. x SouthAfrica,-15.302,0.603,-25.38,0,-16.484,-14.12,Yes
Internal,M. x Americas,1.541,0.832,1.853,0.064,-0.089,3.171,No
Internal,Unk. x Americas,23.382,0.724,32.308,0,21.963,24.8,Yes
Internal,M. x Asia,1.734,0.793,2.185,0.029,0.178,3.289,Yes
Internal,Unk. x Asia,22.845,0.37,61.766,0,22.12,23.57,Yes
Internal,M. x Brazil,1.874,0.855,2.192,0.028,0.198,3.551,Yes
Internal,Unk. x Brazil,23.945,0.818,29.255,0,22.341,25.549,Yes
Internal,M. x China,1.651,0.794,2.078,0.038,0.094,3.207,Yes
Internal,Unk. x China,22.877,0.458,49.926,0,21.979,23.775,Yes
Internal,M. x Europe,1.32,0.788,1.674,0.094,-0.225,2.864,No
Internal,Unk. x Europe,21.968,0.404,54.442,0,21.177,22.759,Yes
Internal,M. x Oceania,1.686,0.847,1.991,0.046,0.026,3.345,Yes
Internal,Unk. x Oceania,43.01,0.767,56.089,0,41.507,44.513,Yes
Internal,M. x USA,1.344,0.789,1.704,0.088,-0.202,2.89,No
Internal,Unk. x USA,22.355,0.384,58.229,0,21.602,23.107,Yes
Internal,M. x SouthAfrica,1.362,1.566,0.87,0.384,-1.707,4.431,No
Internal,Tal. x M. x Americas,-22.549,0.519,-43.442,0,-23.566,-21.531,Yes
Internal,Tal. x Unk. x Americas,-20.162,0,-42452782002438.58,0,-20.162,-20.162,Yes
Internal,Tal. x M. x Asia,-22.917,0.376,-60.938,0,-23.655,-22.18,Yes
Internal,Tal. x Unk. x Asia,8.527,0.562,15.166,0,7.425,9.629,Yes
Internal,Tal. x M. x Brazil,-23.286,0.684,-34.062,0,-24.625,-21.946,Yes
Internal,Tal. x Unk. x Brazil,8.854,1.481,5.979,0,5.952,11.757,Yes
Internal,Tal. x M. x China,-23.138,0.38,-60.966,0,-23.882,-22.394,Yes
Internal,Tal. x Unk. x China,9.014,0.679,13.273,0,7.683,10.345,Yes
Internal,Tal. x M. x Europe,-22.674,0.36,-62.944,0,-23.38,-21.968,Yes
Internal,Tal. x Unk. x Europe,9.68,0.574,16.86,0,8.554,10.805,Yes
Internal,Tal. x M. x Oceania,-23.422,0.517,-45.275,0,-24.436,-22.408,Yes
Internal,Tal. x Unk. x Oceania,-34.486,0,-90256126256.146,0,-34.486,-34.486,Yes
Internal,Tal. x M. x USA,-22.758,0.357,-63.753,0,-23.458,-22.059,Yes
Internal,Tal. x Unk. x USA,9.554,0.56,17.062,0,8.457,10.652,Yes
