Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-10.576,0.548,-19.31,0,-11.65,-9.503,Yes
Both,Talents,6.46,0.526,12.283,0,5.429,7.49,Yes
Both,Male,-3.068,0.627,-4.895,0,-4.296,-1.84,Yes
Both,Unk.,-4.1,0.23,-17.815,0,-4.552,-3.649,Yes
Both,Australia NZ,6.682,0.594,11.254,0,5.518,7.846,Yes
Both,Brazil,5.923,0.692,8.562,0,4.567,7.279,Yes
Both,Central Asia,12.461,0.44,28.327,0,11.599,13.323,Yes
Both,China,5.942,0.554,10.731,0,4.857,7.027,Yes
Both,Eastern Asia,6.212,0.563,11.03,0,5.108,7.315,Yes
Both,Eastern Europe,5.104,0.763,6.685,0,3.608,6.6,Yes
Both,Latin America Car.,6.08,0.891,6.823,0,4.334,7.827,Yes
Both,Melanesia,-0.397,0,-18105809.59,0,-0.397,-0.397,Yes
Both,Northern Africa,-6.006,0.563,-10.671,0,-7.11,-4.903,Yes
Both,Northern America,5.959,0.623,9.571,0,4.738,7.179,Yes
Both,Northern Europe,5.611,0.57,9.846,0,4.494,6.728,Yes
Both,South-eastern Asia,9.31,1.175,7.927,0,7.008,11.613,Yes
Both,Southern Asia,6.321,0.699,9.038,0,4.95,7.692,Yes
Both,Southern Europe,5.165,0.57,9.061,0,4.048,6.282,Yes
Both,USA,6.524,0.539,12.111,0,5.468,7.58,Yes
Both,Western Asia,6.854,0.654,10.476,0,5.572,8.137,Yes
Both,Western Europe,6.503,0.541,12.018,0,5.443,7.564,Yes
Both,South Africa,6.464,1.19,5.431,0,4.131,8.797,Yes
Both,Academic age,0.147,0.009,16.297,0,0.129,0.164,Yes
Both,Tal. x M.,3.3,0.641,5.152,0,2.045,4.556,Yes
Both,Tal. x Unk.,-2.161,0.336,-6.439,0,-2.819,-1.503,Yes
Both,Tal. x Australia NZ,-6.377,0.661,-9.645,0,-7.672,-5.081,Yes
Both,Tal. x Brazil,-7.439,1.21,-6.149,0,-9.81,-5.068,Yes
Both,Tal. x Central Asia,-12.17,0.519,-23.462,0,-13.186,-11.153,Yes
Both,Tal. x China,-7.004,0.601,-11.649,0,-8.182,-5.826,Yes
Both,Tal. x Eastern Asia,-7.419,0.642,-11.554,0,-8.677,-6.16,Yes
Both,Tal. x Eastern Europe,-5.839,1.058,-5.519,0,-7.912,-3.765,Yes
Both,Tal. x Latin America Car.,-5.573,1.476,-3.777,0,-8.465,-2.681,Yes
Both,Tal. x Melanesia,-0.397,0,-17797474.045,0,-0.397,-0.397,Yes
Both,Tal. x Northern Africa,-4.137,0.746,-5.546,0,-5.599,-2.675,Yes
Both,Tal. x Northern America,-6.643,0.753,-8.818,0,-8.119,-5.166,Yes
Both,Tal. x Northern Europe,-6.612,0.63,-10.502,0,-7.846,-5.378,Yes
Both,Tal. x South-eastern Asia,-10.102,1.56,-6.475,0,-13.16,-7.044,Yes
Both,Tal. x Southern Asia,-6.867,1.013,-6.779,0,-8.853,-4.882,Yes
Both,Tal. x Southern Europe,-6.289,0.629,-9.992,0,-7.523,-5.055,Yes
Both,Tal. x USA,-6.372,0.556,-11.462,0,-7.462,-5.283,Yes
Both,Tal. x Western Asia,-6.921,0.904,-7.655,0,-8.693,-5.149,Yes
Both,Tal. x Western Europe,-6.422,0.577,-11.132,0,-7.553,-5.292,Yes
Both,Tal. x South Africa,-7.022,1.584,-4.433,0,-10.126,-3.917,Yes
Both,M. x Australia NZ,3.723,0.708,5.255,0,2.334,5.111,Yes
Both,Unk. x Australia NZ,4.332,0.733,5.907,0,2.894,5.769,Yes
Both,M. x Brazil,2.766,0.85,3.255,0.001,1.1,4.431,Yes
Both,Unk. x Brazil,-16.961,0,-13508507234.918,0,-16.961,-16.961,Yes
Both,M. x Central Asia,12.461,0.44,28.327,0,11.599,13.323,Yes
Both,M. x China,3.207,0.66,4.857,0,1.913,4.501,Yes
Both,Unk. x China,3.65,0.351,10.413,0,2.963,4.337,Yes
Both,M. x Eastern Asia,2.877,0.668,4.307,0,1.567,4.186,Yes
Both,Unk. x Eastern Asia,3.824,0.38,10.07,0,3.08,4.568,Yes
Both,M. x Eastern Europe,3.399,0.882,3.854,0,1.67,5.127,Yes
Both,Unk. x Eastern Europe,4.922,1.165,4.226,0,2.639,7.205,Yes
Both,M. x Latin America Car.,3.351,1,3.35,0.001,1.391,5.311,Yes
Both,Unk. x Latin America Car.,4.266,1.273,3.352,0.001,1.771,6.76,Yes
Both,M. x Melanesia,-0.397,0,-18003245.978,0,-0.397,-0.397,Yes
Both,M. x Northern Africa,14.373,0.717,20.034,0,12.967,15.779,Yes
Both,Unk. x Northern Africa,18.155,1.008,18.004,0,16.178,20.131,Yes
Both,M. x Northern America,3.917,0.733,5.341,0,2.479,5.354,Yes
Both,Unk. x Northern America,5.086,0.688,7.389,0,3.737,6.435,Yes
Both,M. x Northern Europe,3.376,0.678,4.982,0,2.048,4.704,Yes
Both,Unk. x Northern Europe,4.459,0.599,7.443,0,3.285,5.633,Yes
Both,M. x South-eastern Asia,0.214,1.287,0.166,0.868,-2.309,2.736,No
Both,Unk. x South-eastern Asia,1.646,1.524,1.08,0.28,-1.342,4.633,No
Both,M. x Southern Asia,3.143,0.803,3.912,0,1.568,4.718,Yes
Both,Unk. x Southern Asia,3.832,0.687,5.579,0,2.486,5.178,Yes
Both,M. x Southern Europe,3.305,0.684,4.831,0,1.964,4.645,Yes
Both,Unk. x Southern Europe,3.981,0.752,5.296,0,2.508,5.454,Yes
Both,M. x USA,2.982,0.645,4.623,0,1.717,4.246,Yes
Both,Unk. x USA,4.356,0.319,13.65,0,3.731,4.982,Yes
Both,M. x Western Asia,2.872,0.771,3.725,0,1.361,4.384,Yes
Both,Unk. x Western Asia,3.631,0.758,4.79,0,2.145,5.117,Yes
Both,M. x Western Europe,2.849,0.649,4.392,0,1.578,4.121,Yes
Both,Unk. x Western Europe,4.391,0.412,10.656,0,3.583,5.199,Yes
Both,M. x South Africa,3.913,1.353,2.891,0.004,1.26,6.565,Yes
Both,Unk. x South Africa,-5.449,0.778,-7.002,0,-6.975,-3.924,Yes
Both,Tal. x M. x Australia NZ,-3.462,0.791,-4.379,0,-5.012,-1.912,Yes
Both,Tal. x Unk. x Australia NZ,3.086,0.958,3.223,0.001,1.209,4.963,Yes
Both,Tal. x M. x Brazil,-2.491,1.387,-1.796,0.073,-5.209,0.228,No
