Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-15.321,0.608,-25.19,0,-16.514,-14.129,Yes
Both,Talents,11.28,0.588,19.196,0,10.128,12.431,Yes
Both,Male,-6.609,0.719,-9.19,0,-8.019,-5.2,Yes
Both,Unknown,-8.118,0.231,-35.13,0,-8.57,-7.665,Yes
Both,Brazil,10.733,0.732,14.666,0,9.299,12.168,Yes
Both,China,10.748,0.613,17.535,0,9.547,11.949,Yes
Both,East Asia Pacific,11.269,0.607,18.566,0,10.08,12.459,Yes
Both,Europe Central Asia,10.677,0.595,17.955,0,9.511,11.842,Yes
Both,Latin America Caribbean,10.889,0.91,11.964,0,9.105,12.673,Yes
Both,Middle East North Africa,11.391,0.747,15.242,0,9.926,12.856,Yes
Both,North America,10.769,0.672,16.031,0,9.453,12.086,Yes
Both,South Asia,11.339,0.745,15.229,0,9.879,12.798,Yes
Both,USA,11.329,0.6,18.872,0,10.152,12.505,Yes
Both,South Africa,11.269,1.183,9.529,0,8.951,13.587,Yes
Both,Academic age,0.143,0.009,16.068,0,0.126,0.161,Yes
Both,Tal. x M.,6.814,0.72,9.462,0,5.403,8.225,Yes
Both,Tal. x Unk.,-2.812,0.358,-7.845,0,-3.515,-2.109,Yes
Both,Tal. x Brazil,-12.263,1.224,-10.018,0,-14.663,-9.864,Yes
Both,Tal. x China,-11.823,0.653,-18.095,0,-13.104,-10.542,Yes
Both,Tal. x EastAsiaPa,-11.88,0.638,-18.617,0,-13.131,-10.629,Yes
Both,Tal. x EuropeCenAs,-11.317,0.609,-18.589,0,-12.51,-10.124,Yes
Both,Tal. x LatinAmeriCar,-10.39,1.481,-7.017,0,-13.292,-7.488,Yes
Both,Tal. x MENA,-11.254,0.977,-11.519,0,-13.169,-9.339,Yes
Both,Tal. x NorthAmer,-11.469,0.791,-14.504,0,-13.019,-9.919,Yes
Both,Tal. x SouthAsi,-12.001,1.258,-9.537,0,-14.467,-9.535,Yes
Both,Tal. x USA,-11.19,0.614,-18.24,0,-12.393,-9.988,Yes
Both,Tal. x SouthAfrica,-11.829,1.572,-7.525,0,-14.911,-8.748,Yes
Both,M. x Brazil,6.302,0.907,6.945,0,4.523,8.08,Yes
Both,M. x China,6.748,0.747,9.037,0,5.284,8.211,Yes
Both,Unk. x China,7.666,0.341,22.463,0,6.997,8.335,Yes
Both,M. x EastAsiaPa,6.422,0.74,8.679,0,4.972,7.872,Yes
Both,Unk. x EastAsiaPa,7.692,0.336,22.866,0,7.033,8.352,Yes
Both,M. x EuropeCenAs,6.676,0.728,9.167,0,5.249,8.103,Yes
Both,Unk. x EuropeCenAs,8.415,0.33,25.495,0,7.768,9.062,Yes
