Mobility,Term,Estimate,Standard error,Statistic,P-value,Lower bound of confidence,Upper bound of confidence,Significance status
Both,Ref. category,-12.166,0.745,-16.335,0,-13.625,-10.706,Yes
Both,Talents,8.118,0.749,10.843,0,6.65,9.585,Yes
Both,Male,6.651,0.825,8.065,0,5.034,8.267,Yes
Both,Unknown,8.817,1.115,7.906,0,6.631,11.003,Yes
Both,Americas,7.641,0.781,9.789,0,6.111,9.171,Yes
Both,Asia,8.085,0.742,10.895,0,6.631,9.54,Yes
Both,Brazil,7.576,0.851,8.899,0,5.908,9.245,Yes
Both,China,7.591,0.746,10.175,0,6.129,9.054,Yes
Both,Europe,7.505,0.732,10.25,0,6.07,8.94,Yes
Both,Oceania,8.333,0.773,10.78,0,6.818,9.848,Yes
Both,USA,8.173,0.736,11.098,0,6.729,9.616,Yes
Both,South Africa,8.126,1.272,6.391,0,5.634,10.619,Yes
Both,Academic age,0.144,0.009,16.044,0,0.126,0.161,Yes
Both,Tal. x M.,-6.132,0.926,-6.625,0,-7.946,-4.318,Yes
Both,Tal. x Unk.,-8.16,1.505,-5.422,0,-11.109,-5.21,Yes
Both,Tal. x Americas,-8.231,0.887,-9.28,0,-9.97,-6.493,Yes
Both,Tal. x Asia,-9.081,0.801,-11.343,0,-10.65,-7.512,Yes
Both,Tal. x Brazil,-9.098,1.314,-6.924,0,-11.674,-6.523,Yes
Both,Tal. x China,-8.661,0.799,-10.842,0,-10.226,-7.095,Yes
Both,Tal. x Europe,-8.137,0.765,-10.638,0,-9.636,-6.638,Yes
Both,Tal. x Oceania,-8.032,0.84,-9.561,0,-9.679,-6.386,Yes
Both,Tal. x USA,-8.028,0.768,-10.454,0,-9.534,-6.523,Yes
Both,Tal. x SouthAfrica,-8.686,1.647,-5.275,0,-11.913,-5.459,Yes
Both,M. x Americas,-5.963,0.886,-6.727,0,-7.7,-4.225,Yes
Both,Unk. x Americas,-8.043,1.255,-6.406,0,-10.504,-5.582,Yes
Both,M. x Asia,-6.916,0.843,-8.208,0,-8.568,-5.265,Yes
Both,Unk. x Asia,-9.242,1.142,-8.094,0,-11.48,-7.004,Yes
Both,M. x Brazil,-6.958,1.003,-6.934,0,-8.925,-4.991,Yes
Both,Unk. x Brazil,-34.36,0,-17634079262.635,0,-34.36,-34.36,Yes
Both,M. x China,-6.512,0.848,-7.678,0,-8.174,-4.85,Yes
Both,Unk. x China,-9.268,1.146,-8.09,0,-11.514,-7.023,Yes
Both,M. x Europe,-6.568,0.833,-7.889,0,-8.2,-4.936,Yes
Both,Unk. x Europe,-8.483,1.145,-7.409,0,-10.728,-6.239,Yes
Both,M. x Oceania,-5.999,0.884,-6.787,0,-7.732,-4.267,Yes
Both,Unk. x Oceania,-8.597,1.323,-6.5,0,-11.19,-6.005,Yes
Both,M. x USA,-6.737,0.838,-8.044,0,-8.379,-5.096,Yes
Both,Unk. x USA,-8.562,1.137,-7.53,0,-10.791,-6.333,Yes
Both,M. x SouthAfrica,-5.818,1.441,-4.036,0,-8.643,-2.993,Yes
Both,Unk. x SouthAfrica,-35.772,1.153,-31.029,0,-38.032,-33.513,Yes
Both,Tal. x M. x Americas,6.692,1.064,6.288,0,4.606,8.777,Yes
Both,Tal. x Unk. x Americas,8.605,1.698,5.067,0,5.277,11.934,Yes
Both,Tal. x M. x Asia,7.295,0.975,7.483,0,5.384,9.205,Yes
Both,Tal. x Unk. x Asia,8.966,1.557,5.76,0,5.915,12.017,Yes
Both,Tal. x M. x Brazil,6.944,1.537,4.519,0,3.932,9.956,Yes
Both,Tal. x Unk. x Brazil,-6.417,0,-32113792884240.727,0,-6.417,-6.417,Yes
Both,Tal. x M. x China,6.539,0.977,6.695,0,4.625,8.454,Yes
Both,Tal. x Unk. x China,9.294,1.551,5.992,0,6.254,12.334,Yes
Both,Tal. x M. x Europe,6.614,0.943,7.017,0,4.766,8.461,Yes
Both,Tal. x Unk. x Europe,8.116,1.544,5.257,0,5.09,11.142,Yes
Both,Tal. x M. x Oceania,5.969,1.028,5.805,0,3.954,7.985,Yes
Both,Tal. x Unk. x Oceania,9.086,1.766,5.146,0,5.625,12.547,Yes
Both,Tal. x M. x USA,6.48,0.947,6.846,0,4.625,8.336,Yes
Both,Tal. x Unk. x USA,8.121,1.535,5.291,0,5.113,11.13,Yes
Both,Tal. x M. x SouthAfrica,6.77,1.879,3.602,0,3.086,10.453,Yes
Both,Tal. x Unk. x SouthAfrica,36.336,1.153,31.518,0,34.077,38.596,Yes
Internal,Ref. category,-1.901,0.688,-2.765,0.006,-3.249,-0.553,Yes
Internal,Talents,-24.266,0.408,-59.5,0,-25.065,-23.466,Yes
Internal,Male,-1.435,0.781,-1.836,0.066,-2.966,0.097,No
Internal,Unknown,-15.27,0.589,-25.939,0,-16.424,-14.116,Yes
Internal,Americas,-1.029,0.724,-1.422,0.155,-2.448,0.39,No
Internal,Asia,-0.529,0.693,-0.764,0.445,-1.888,0.829,No
Internal,Brazil,-0.642,0.747,-0.859,0.39,-2.106,0.823,No
Internal,China,-1.007,0.695,-1.449,0.147,-2.37,0.355,No
Internal,Europe,-0.869,0.684,-1.27,0.204,-2.21,0.472,No
Internal,Oceania,-0.793,0.734,-1.08,0.28,-2.232,0.646,No
Internal,USA,0.373,0.686,0.544,0.586,-0.971,1.717,No
Internal,South Africa,-1.195,1.3,-0.919,0.358,-3.742,1.353,No
Internal,Academic age,0.095,0.006,16.705,0,0.084,0.106,Yes
Internal,Tal. x M.,24.831,0.496,50.105,0,23.86,25.803,Yes
Internal,Tal. x Unk.,38.962,0.605,64.436,0,37.777,40.147,Yes
Internal,Tal. x Americas,23.956,0.549,43.628,0,22.88,25.032,Yes
Internal,Tal. x Asia,24.028,0.443,54.285,0,23.161,24.896,Yes
Internal,Tal. x Brazil,23.779,0.663,35.862,0,22.479,25.078,Yes
Internal,Tal. x China,24.001,0.448,53.584,0,23.123,24.879,Yes
Internal,Tal. x Europe,23.875,0.423,56.454,0,23.046,24.704,Yes
